,TS,Algo,Graph,NThread,Dur
0,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.500254
1,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.503207
2,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.50812
3,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.509824
4,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.507255
5,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.50686
6,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.505113
7,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.504852
8,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.503224
9,2016-12-12_103145,pf_Greedy,coPaperDBLP,1,14.504442
10,2016-12-12_101558,pf_KS,coPaperDBLP,1,89.984823
11,2016-12-12_101558,pf_KS,coPaperDBLP,1,87.872807
12,2016-12-12_101558,pf_KS,coPaperDBLP,1,87.472335
13,2016-12-12_101558,pf_KS,coPaperDBLP,1,86.669215
14,2016-12-12_101558,pf_KS,coPaperDBLP,1,85.891165
15,2016-12-12_101558,pf_KS,coPaperDBLP,1,85.454796
16,2016-12-12_101558,pf_KS,coPaperDBLP,1,84.330429
17,2016-12-12_101558,pf_KS,coPaperDBLP,1,83.588176
18,2016-12-12_101558,pf_KS,coPaperDBLP,1,82.916661
19,2016-12-12_101558,pf_KS,coPaperDBLP,1,82.617765
