,TS,Algo,Graph,NThread,Dur
0,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.480447
1,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.487146
2,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.487125
3,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.488892
4,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.48994
5,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.485292
6,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.489266
7,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.497619
8,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.489319
9,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.488977
10,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.491801
11,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.491494
12,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.495506
13,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.494164
14,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.489179
15,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.49483
16,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.49192
17,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.491998
18,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.491358
19,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.49102
20,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.489434
21,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.491898
22,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.492886
23,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.493823
24,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.496713
25,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.495371
26,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.49851
27,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.497749
28,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.507993
29,2016-12-12_013310,pf_Greedy,coPaperDBLP,1,14.487561
30,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.385667
31,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.457728
32,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.445527
33,2016-12-12_005027,pf_KS,coPaperDBLP,1,84.09499
34,2016-12-12_005027,pf_KS,coPaperDBLP,1,85.117972
35,2016-12-12_005027,pf_KS,coPaperDBLP,1,83.574024
36,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.447473
37,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.453756
38,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.439058
39,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.437442
40,2016-12-12_005027,pf_KS,coPaperDBLP,1,84.265067
41,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.620516
42,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.456817
43,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.406035
44,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.432725
45,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.440466
46,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.405704
47,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.436573
48,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.427737
49,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.419013
50,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.438672
51,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.41349
52,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.440879
53,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.431482
54,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.455059
55,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.448147
56,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.449015
57,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.449432
58,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.448362
59,2016-12-12_005027,pf_KS,coPaperDBLP,1,82.453835
60,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.552291
61,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.554413
62,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.553251
63,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.553916
64,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.552199
65,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.553223
66,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.552292
67,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.552539
68,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.554532
69,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.545738
70,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.553319
71,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.55317
72,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.546457
73,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.553513
74,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.554326
75,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.554135
76,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.555379
77,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.549447
78,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.557537
79,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.552196
80,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.535967
81,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.551177
82,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.552754
83,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.551878
84,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.553043
85,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.552613
86,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.555907
87,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.554585
88,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.558715
89,2016-12-13_124440,pf_Greedy_i7,coPaperDBLP,1,1.55186
90,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.999404
91,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.982041
92,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.998847
93,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.094916
94,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.090777
95,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.097843
96,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.980502
97,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.05437
98,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.971323
99,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.993852
100,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.073065
101,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.970708
102,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.022864
103,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.106542
104,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.090427
105,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.114104
106,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.176344
107,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.080498
108,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.090892
109,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.049408
110,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.012837
111,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.018779
112,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.002701
113,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.977895
114,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.981566
115,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.035568
116,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.072047
117,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,8.960725
118,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.160466
119,2016-12-13_124000,pf_KS_i7,coPaperDBLP,1,9.488966
120,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.471221
121,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.347516
122,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.377843
123,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.332365
124,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.473894
125,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.470857
126,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.377355
127,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.419525
128,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.48304
129,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.32072
130,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.390608
131,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.340901
132,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.352935
133,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.479982
134,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.259097
135,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.425667
136,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.485182
137,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.329011
138,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.256479
139,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.339079
140,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.355317
141,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.339616
142,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.400145
143,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.418074
144,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.336995
145,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.195567
146,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.384426
147,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.330195
148,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.352531
149,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,10,1.475702
150,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.639095
151,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.708356
152,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.709212
153,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.708944
154,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.638755
155,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.640256
156,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.639764
157,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.637927
158,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.636598
159,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.638142
160,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.639642
161,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.708399
162,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.706608
163,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.635405
164,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.639574
165,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.634472
166,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.707921
167,2016-12-11_001126,ppf1_Greedy,coPaperDBLP,20,0.636852
