TimeStamp,GraphName,NumVertices,NumEdges,Algorithm
2016-11-28_163722,gnutella30_bi,73364,176656,parallel pothen fan
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0.197595,0.073377,0.060889,0.046895,0.032827,0.026552,0.023887,0.022062,0.019625,0.017678,0.016479,0.017897,0.014590,0.013705,0.014445,0.013102,0.013490,0.011525,0.010491,0.009110,0.011875,0.010480,0.011183,0.009762,0.010230,0.009323,0.009485,0.008116,0.007446,0.008297,0.008219,0.008275,0.008338,0.008150,0.008363,0.007788,0.007493,0.007953,0.007184,0.007362,0.006983,0.007352,0.006844,0.007315,0.007150,0.008185,0.007100,0.007426,0.006753,0.007454,0.007068,0.007096,0.008334,0.006515,0.007522,0.006700,0.007538,0.006690,0.007366,0.006619,0.007121,0.007111,0.006596,0.006624,0.007054,0.006251,0.007261,0.008318,0.006619
0.167029,0.085489,0.060067,0.045670,0.081572,0.026637,0.022830,0.020932,0.018984,0.017161,0.015689,0.018078,0.014017,0.012847,0.012567,0.013760,0.013161,0.010544,0.010468,0.010389,0.009449,0.009151,0.009875,0.009743,0.008316,0.008459,0.008079,0.008356,0.007306,0.007405,0.007496,0.007351,0.007855,0.007794,0.006658,0.006696,0.006954,0.006430,0.006960,0.005979,0.007271,0.006866,0.006596,0.006689,0.006820,0.006844,0.006614,0.006123,0.006167,0.005861,0.005969,0.005712,0.005981,0.006112,0.005416,0.006265,0.006330,0.005448,0.005860,0.005332,0.006088,0.005943,0.006016,0.006415,0.006108,0.005779,0.006063,0.005719,0.005738
0.167595,0.085559,0.059686,0.046400,0.036443,0.026081,0.022778,0.020344,0.018344,0.016999,0.016476,0.016889,0.013936,0.013083,0.014437,0.011658,0.011292,0.010884,0.010494,0.008310,0.009117,0.009052,0.008982,0.009377,0.009160,0.009375,0.008353,0.007820,0.008369,0.007220,0.007167,0.007823,0.007801,0.007256,0.006855,0.006786,0.006852,0.006378,0.006582,0.006887,0.006214,0.005987,0.005984,0.006360,0.006877,0.006808,0.005812,0.006218,0.006095,0.006094,0.006583,0.005992,0.005609,0.005390,0.005418,0.006151,0.006394,0.006134,0.005978,0.005577,0.005971,0.006004,0.005387,0.005802,0.005683,0.005520,0.005764,0.005689,0.006551
0.167003,0.085472,0.059378,0.045921,0.036989,0.026458,0.023247,0.020329,0.019377,0.016702,0.016010,0.017025,0.016094,0.013020,0.012836,0.011999,0.011470,0.011234,0.011194,0.009438,0.008833,0.009971,0.009455,0.009653,0.008946,0.008330,0.007587,0.007814,0.007865,0.007896,0.007071,0.007726,0.007598,0.006783,0.006052,0.006691,0.007005,0.006616,0.006920,0.006181,0.006701,0.006700,0.006484,0.006761,0.006772,0.006345,0.005991,0.006493,0.005717,0.006293,0.006715,0.006274,0.006066,0.005806,0.005597,0.006388,0.006098,0.005277,0.005999,0.005958,0.006027,0.005795,0.005806,0.005802,0.005175,0.005446,0.005504,0.005689,0.005817
0.167103,0.085489,0.060053,0.045799,0.036393,0.026709,0.022663,0.020801,0.018643,0.016888,0.015753,0.017633,0.013780,0.012664,0.012878,0.012047,0.011419,0.011172,0.009949,0.009694,0.009996,0.009408,0.010306,0.010287,0.008493,0.008377,0.008394,0.007984,0.007502,0.008499,0.007504,0.007013,0.007478,0.007506,0.006888,0.007146,0.006788,0.006090,0.006582,0.006590,0.006485,0.006736,0.006082,0.006652,0.006792,0.006341,0.006127,0.006240,0.006160,0.005974,0.005763,0.005865,0.006144,0.005650,0.005877,0.006094,0.006100,0.006032,0.005702,0.005103,0.006328,0.005455,0.006218,0.005618,0.006010,0.005281,0.005428,0.006269,0.005510
0.167081,0.085422,0.060185,0.046567,0.037205,0.026220,0.023559,0.020255,0.018270,0.016948,0.019386,0.016710,0.014021,0.012684,0.014013,0.011624,0.013870,0.010732,0.010266,0.010019,0.009557,0.008898,0.010107,0.009142,0.008314,0.008038,0.008499,0.008464,0.007227,0.007865,0.007907,0.006963,0.007486,0.007668,0.007060,0.006654,0.007368,0.006949,0.006977,0.007206,0.007105,0.006832,0.006535,0.006453,0.006853,0.006047,0.005967,0.005949,0.005991,0.006272,0.006589,0.006055,0.005671,0.005970,0.005948,0.006746,0.006288,0.005705,0.006181,0.005468,0.005948,0.005723,0.005761,0.005508,0.005911,0.005320,0.005446,0.005084,0.005683
0.166951,0.085354,0.059481,0.045700,0.036896,0.026857,0.023052,0.020785,0.019681,0.016738,0.016186,0.016696,0.016310,0.013603,0.014582,0.011732,0.011797,0.010762,0.010095,0.009505,0.009117,0.009025,0.009111,0.008194,0.009364,0.008239,0.007667,0.007646,0.007901,0.008184,0.007356,0.007697,0.006815,0.007419,0.006436,0.006790,0.006984,0.006282,0.006915,0.006645,0.006236,0.006589,0.006440,0.007126,0.006443,0.006452,0.006004,0.006392,0.005771,0.005950,0.006311,0.006043,0.006117,0.005964,0.005329,0.006266,0.006686,0.005960,0.006193,0.005419,0.005495,0.005860,0.005596,0.005878,0.005675,0.005884,0.006009,0.005770,0.005782
0.166980,0.085476,0.059666,0.046276,0.036962,0.025902,0.022591,0.020644,0.018542,0.017650,0.015720,0.017805,0.013610,0.013385,0.014480,0.012560,0.012867,0.011148,0.011356,0.008192,0.009061,0.010112,0.009678,0.009571,0.008580,0.007981,0.007578,0.008224,0.007595,0.007810,0.007198,0.007476,0.008169,0.006990,0.006309,0.006875,0.006578,0.006315,0.006727,0.006811,0.006557,0.006320,0.006210,0.006106,0.006746,0.006865,0.006377,0.006126,0.005679,0.006292,0.005997,0.006132,0.005358,0.006061,0.005509,0.006336,0.005800,0.011338,0.006358,0.005562,0.005857,0.005830,0.005766,0.005703,0.005583,0.005221,0.005109,0.005658,0.006406
0.167745,0.085139,0.060127,0.046034,0.036406,0.026651,0.023260,0.020140,0.018269,0.016763,0.016296,0.017000,0.013693,0.012857,0.014218,0.014020,0.013408,0.010634,0.010053,0.009900,0.010928,0.009388,0.009068,0.009123,0.008707,0.008207,0.007959,0.007566,0.007808,0.008903,0.006998,0.007249,0.007827,0.007015,0.007349,0.007305,0.006602,0.006630,0.006652,0.006401,0.007139,0.006376,0.006269,0.006405,0.006642,0.006116,0.006448,0.007122,0.006173,0.006225,0.006442,0.006195,0.006013,0.005569,0.005939,0.006675,0.005802,0.005906,0.005800,0.005414,0.005735,0.005664,0.005480,0.005480,0.006042,0.005878,0.005763,0.005545,0.005622
0.167620,0.084995,0.060045,0.045749,0.037083,0.026570,0.022729,0.021497,0.019292,0.016721,0.018757,0.016979,0.014993,0.013194,0.014226,0.011537,0.011414,0.010375,0.010428,0.008723,0.009498,0.009162,0.010048,0.009349,0.008097,0.008249,0.008674,0.008015,0.007415,0.007352,0.008413,0.006907,0.008076,0.007667,0.006782,0.007133,0.006488,0.005907,0.006572,0.005787,0.006455,0.006149,0.006339,0.006230,0.007107,0.006563,0.006261,0.006187,0.006041,0.006006,0.006080,0.006213,0.005732,0.006187,0.005931,0.005955,0.006924,0.005753,0.006122,0.005456,0.005828,0.005955,0.006064,0.005557,0.005837,0.005635,0.005645,0.005657,0.005811
