TimeStamp,GraphName,NumVertices,NumEdges,Algorithm
2016-12-09_122032,gnutella30_bi,73364,176656,pf_KS
Duration,NumThreads,Algorithm,,
1,,,,
0.049292,,,,
0.047522,,,,
0.049274,,,,
0.047627,,,,
0.04758,,,,
0.048699,,,,
0.047553,,,,
0.048531,,,,
0.047473,,,,
0.048554,,,,
0.047515,,,,
0.048793,,,,
0.047596,,,,
0.047604,,,,
0.048657,,,,
0.047627,,,,
0.048916,,,,
0.047646,,,,
0.048749,,,,
0.047633,,,,
0.048888,,,,
0.047765,,,,
0.047818,,,,
0.049141,,,,
0.047944,,,,
0.048943,,,,
0.047768,,,,
0.048823,,,,
0.047769,,,,
0.048825,,,,
0.04796,,,,
0.048133,,,,
0.048511,,,,
0.047824,,,,
0.048691,,,,
0.047827,,,,
0.048797,,,,
0.047884,,,,
0.048793,,,,
0.047933,,,,
0.04812,,,,
0.04874,,,,
0.047977,,,,
0.048787,,,,
0.047767,,,,
0.048716,,,,
0.047837,,,,
0.048826,,,,
0.047662,,,,
0.047945,,,,
0.048425,,,,
0.047762,,,,
0.048647,,,,
0.047665,,,,
0.048638,,,,
0.04773,,,,
0.048877,,,,
0.047813,,,,
0.048213,,,,
0.048513,,,,
0.047905,,,,
0.048672,,,,
0.047735,,,,
0.04875,,,,
0.047905,,,,
0.04877,,,,
0.047783,,,,
0.048454,,,,
0.048063,,,,
0.047796,,,,
0.049862,,,,
0.049636,,,,
0.04882,,,,
0.047592,,,,
0.048536,,,,
0.047721,,,,
0.048639,,,,
0.048088,,,,
0.048165,,,,
0.048474,,,,
0.047831,,,,
0.048694,,,,
0.047768,,,,
0.048701,,,,
0.047893,,,,
0.0488,,,,
0.047782,,,,
0.048319,,,,
0.048357,,,,
0.047869,,,,
0.048447,,,,
0.047713,,,,
0.048552,,,,
0.047692,,,,
0.04852,,,,
0.0477,,,,
0.04827,,,,
0.048129,,,,
0.048093,,,,
0.048587,,,,
0.047905,,,,
