TimeStamp,GraphName,NumVertices,NumEdges,Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-09_113649,gnutella30_bi,73364,176656,ppf1_KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,NumThreads,Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0.090812,0.042855,0.035061,0.030559,0.02438,0.022698,0.021514,0.017932,0.016762,0.015486,0.014508,0.013943,0.014484,0.0134,0.012214,0.012825,0.014114,0.011334,0.011996,0.011176,0.017218,0.010456,0.009934,0.009817,0.011284,0.009124,0.008973,0.010468,0.009027,0.011166,0.009112,0.008593,0.008196,0.013352,0.008205,0.008214,0.008626,0.009456,0.008002,0.007958,0.008198,0.009105,0.008939,0.008152,0.008154,0.008831,0.008796,0.007604,0.009664,0.009114,0.008605,0.00858,0.007575,0.009142,0.009149,0.008071,0.007205,0.00737,0.009028,0.008309,0.007599,0.007408,0.008251,0.010478,0.008532,0.007639,0.008162,0.008498,0.008843,0.007518,0.008163,0.008429,0.008239,0.007656,0.008201,0.008728,0.008693,0.007536,0.009506,0.00816,0.00755,0.008222,0.008371,0.008572,0.008447,0.008203,0.007385,0.007926,0.008099,0.008582,0.008599,0.008149,0.008298,0.008783,0.00739,0.007967,0.007942,0.007324,0.007107,0.007333,0.007299,0.008138,0.007298,0.007946,0.007145,0.007295,0.007195,0.00727,0.009296,0.007877,0.007356,0.007224,0.008072,0.007376,0.007585,0.007267,0.008238,0.007226,0.008029,0.007299,0.008267,0.007575,0.007589,0.009147,0.008276,0.007682,0.007433,0.007733,0.008236,0.008505,0.007653,0.007793,0.007627,0.008773,0.007737,0.0078,0.007718,0.008435,0.009313,0.007556,0.007841,0.008197,0.007922,0.007779,0.007902,0.008231,0.008464,0.007668,0.008256,0.008196,0.008453,0.008138,0.007983,0.010006,0.008393,0.008407,0.007669,0.00848,0.008151,0.008606,0.007829,0.007958,0.008346,0.008692,0.007617,0.008084,0.008464,0.008594,0.010257,0.008051,0.008586,0.008353,0.008736,0.008287,0.008582,0.008299,0.008616,0.007942,0.008175,0.008056,0.008963,0.008904,0.009118,0.010938,0.008841,0.009047,0.008949,0.0091,0.008308,0.009293,0.008468,0.009316,0.009168,0.009298,0.008378,0.008761,0.008942,0.008599,0.010379,0.008553,0.009392,0.008549,0.00891,0.008452,0.008906,0.008421,0.008795,0.009065,0.008929,0.009072,0.008915,0.009071,0.008702,0.010398,0.009006,0.009441,0.009111,0.009491,0.00839,0.009044,0.00914,0.008728,0.008608,0.009017,0.008845,0.009463,0.008793,0.008924,0.010562,0.008736,0.008917,0.008732,0.009584,0.009151,0.009606,0.008811,0.009109,0.008834,0.00959,0.009291,0.018215,0.014384,0.014886,0.016137,0.012415,0.016092,0.014968,0.015491,0.014767,0.016444
0.060143,0.038374,0.033836,0.028108,0.023496,0.021559,0.020304,0.017279,0.016064,0.014805,0.013836,0.013063,0.013815,0.012596,0.011295,0.011892,0.012821,0.010317,0.009811,0.01031,0.016425,0.009328,0.00888,0.008922,0.010465,0.008052,0.008059,0.009556,0.008146,0.010349,0.007984,0.007703,0.007448,0.011208,0.007369,0.007379,0.007522,0.008633,0.007241,0.007062,0.00742,0.008221,0.008019,0.007134,0.0073,0.007921,0.007953,0.006614,0.007114,0.008072,0.007713,0.007831,0.006438,0.008178,0.007941,0.007478,0.006203,0.006223,0.008021,0.007496,0.0064,0.006501,0.007386,0.008123,0.007401,0.00633,0.007133,0.007265,0.008125,0.006467,0.007262,0.007252,0.007242,0.006745,0.00716,0.007058,0.007613,0.006281,0.007078,0.007239,0.006689,0.007198,0.007008,0.007757,0.007069,0.006924,0.006159,0.007013,0.006151,0.006545,0.007388,0.006339,0.006939,0.006195,0.006142,0.006777,0.007067,0.006027,0.006166,0.006195,0.005993,0.006749,0.006113,0.006776,0.006268,0.005952,0.006135,0.005914,0.006793,0.006813,0.006084,0.006325,0.005982,0.006179,0.006022,0.006754,0.006783,0.005921,0.006011,0.006008,0.006953,0.006316,0.006365,0.006274,0.006891,0.006291,0.006127,0.00636,0.006786,0.00709,0.006367,0.006986,0.006238,0.006874,0.006276,0.006249,0.00635,0.006794,0.00638,0.006208,0.006324,0.00686,0.006099,0.006228,0.006243,0.006855,0.006921,0.006456,0.006327,0.006752,0.006952,0.006747,0.006429,0.007029,0.006848,0.006877,0.00648,0.006903,0.006859,0.006734,0.006264,0.006244,0.00681,0.006956,0.006332,0.006384,0.006913,0.006807,0.006959,0.006248,0.00687,0.006782,0.00679,0.006737,0.006328,0.006763,0.006721,0.006222,0.006274,0.006347,0.007173,0.007225,0.00739,0.007281,0.007266,0.007125,0.006641,0.007131,0.007062,0.007591,0.006747,0.006861,0.007708,0.007268,0.007152,0.006715,0.007225,0.006521,0.006788,0.006909,0.006804,0.00674,0.006758,0.006734,0.006776,0.006705,0.006757,0.007232,0.006812,0.007282,0.006807,0.007421,0.006695,0.00677,0.006759,0.007274,0.007275,0.007303,0.006634,0.006768,0.007255,0.006599,0.00682,0.006805,0.007069,0.007367,0.006793,0.006684,0.006834,0.006801,0.006577,0.006841,0.007166,0.007,0.007306,0.006944,0.006893,0.006858,0.007271,0.007365,0.020073,0.013047,0.012652,0.013177,0.010335,0.013237,0.012788,0.012328,0.012508,0.01426
0.059333,0.040453,0.033743,0.028044,0.023723,0.022006,0.020435,0.017438,0.016647,0.015131,0.014065,0.013446,0.013579,0.012348,0.011251,0.0119,0.013031,0.010285,0.009537,0.010615,0.016599,0.009394,0.008914,0.008867,0.010161,0.007972,0.008139,0.009674,0.008057,0.010316,0.008028,0.007687,0.007533,0.011239,0.007341,0.007205,0.007721,0.008442,0.00709,0.007153,0.00733,0.008371,0.008281,0.007138,0.007331,0.00817,0.007812,0.00666,0.007209,0.008007,0.007668,0.00785,0.006416,0.0081,0.008189,0.007358,0.006554,0.006134,0.008158,0.007726,0.006354,0.006297,0.007687,0.007963,0.007736,0.006287,0.007388,0.007228,0.008121,0.006486,0.007151,0.007388,0.007044,0.006598,0.00713,0.007027,0.007684,0.006233,0.007097,0.007118,0.006427,0.007217,0.00707,0.007494,0.007217,0.006905,0.00605,0.006903,0.007143,0.007282,0.007448,0.007097,0.00703,0.006416,0.006911,0.006794,0.006825,0.006073,0.006043,0.006079,0.006016,0.006656,0.006077,0.006692,0.006044,0.006003,0.005923,0.005914,0.006779,0.006759,0.005956,0.005935,0.005974,0.006908,0.006069,0.006108,0.006777,0.005906,0.006086,0.006005,0.006747,0.006312,0.006269,0.006229,0.006927,0.006551,0.006108,0.006161,0.006814,0.006904,0.006463,0.006485,0.006349,0.006926,0.006284,0.006246,0.006198,0.006833,0.006201,0.006277,0.00636,0.007105,0.006114,0.006176,0.006388,0.006771,0.00681,0.006285,0.006319,0.006693,0.006685,0.006905,0.006258,0.006787,0.006874,0.006932,0.006313,0.00681,0.006821,0.006853,0.006269,0.006213,0.006791,0.006822,0.006223,0.006222,0.007104,0.006663,0.006829,0.006221,0.006774,0.006703,0.006712,0.00631,0.006318,0.006823,0.006869,0.006334,0.006331,0.00628,0.007238,0.007246,0.007228,0.007257,0.007275,0.007509,0.006624,0.006701,0.007273,0.007324,0.006804,0.006865,0.006893,0.007216,0.006564,0.007244,0.007702,0.006485,0.006777,0.006863,0.006789,0.006727,0.006834,0.006753,0.00671,0.006739,0.006856,0.007254,0.00733,0.007352,0.007266,0.007467,0.006669,0.006771,0.007265,0.007052,0.007418,0.007333,0.006664,0.00685,0.007425,0.006617,0.006783,0.006788,0.007126,0.007205,0.006808,0.00666,0.006797,0.006849,0.006603,0.006812,0.007236,0.007021,0.007293,0.006906,0.006892,0.006873,0.007262,0.007405,0.013153,0.012411,0.012373,0.012307,0.010271,0.013104,0.013042,0.01285,0.013162,0.013107
0.059807,0.038321,0.034273,0.028275,0.023304,0.022077,0.020221,0.017544,0.01601,0.015045,0.01422,0.013162,0.013888,0.012241,0.01123,0.012003,0.012783,0.010605,0.009681,0.010211,0.016292,0.009456,0.008577,0.008863,0.010179,0.008084,0.008404,0.009632,0.00818,0.010441,0.008144,0.007732,0.00763,0.011105,0.007491,0.007213,0.007738,0.008616,0.007169,0.00715,0.007287,0.008251,0.008165,0.006926,0.007229,0.007928,0.007792,0.006694,0.007248,0.008288,0.00747,0.007595,0.006408,0.008342,0.008175,0.007248,0.00634,0.006403,0.008007,0.007392,0.006305,0.00639,0.007274,0.008086,0.007552,0.006244,0.007286,0.007651,0.008095,0.006404,0.007194,0.007292,0.007247,0.006578,0.007272,0.007413,0.007582,0.006127,0.00702,0.006998,0.006448,0.00726,0.007092,0.007389,0.007261,0.006993,0.006153,0.006114,0.006244,0.006574,0.007319,0.006149,0.006927,0.00617,0.006272,0.006671,0.006846,0.006813,0.005978,0.005978,0.005993,0.006821,0.006083,0.006773,0.006117,0.006018,0.005929,0.006075,0.006621,0.007017,0.006049,0.005978,0.00601,0.006156,0.006258,0.006128,0.006809,0.006057,0.00616,0.005963,0.006838,0.00632,0.006255,0.006131,0.006944,0.006264,0.006065,0.006249,0.006976,0.006831,0.006294,0.006194,0.006428,0.006879,0.006531,0.006216,0.00624,0.006862,0.006244,0.006248,0.006219,0.006785,0.006118,0.006291,0.006203,0.006815,0.007,0.006192,0.006339,0.006675,0.006727,0.006746,0.006376,0.006913,0.006808,0.006853,0.00623,0.006972,0.006809,0.006782,0.006293,0.006199,0.006759,0.006676,0.006076,0.006374,0.00693,0.006668,0.006837,0.006316,0.006916,0.006807,0.006901,0.006782,0.006217,0.006866,0.006748,0.006342,0.006392,0.006294,0.007214,0.007413,0.007497,0.007224,0.007186,0.007207,0.006599,0.007172,0.007189,0.007286,0.006829,0.007484,0.007418,0.007157,0.007179,0.006735,0.007246,0.006553,0.006749,0.00677,0.007262,0.006824,0.006748,0.006754,0.006838,0.006713,0.007054,0.007268,0.007132,0.007325,0.007353,0.007293,0.006592,0.006741,0.007306,0.007037,0.007252,0.007294,0.006623,0.006845,0.007369,0.006637,0.007008,0.006746,0.007194,0.007198,0.00685,0.006633,0.006832,0.006819,0.006672,0.006733,0.007244,0.007079,0.007286,0.006872,0.006857,0.006846,0.007284,0.007465,0.015129,0.012884,0.012369,0.013081,0.010306,0.013026,0.012821,0.013321,0.013549,0.014051
0.059329,0.040056,0.033882,0.028444,0.023316,0.022008,0.020427,0.017335,0.016116,0.014737,0.013804,0.013233,0.013734,0.012308,0.011361,0.012446,0.01298,0.010355,0.009481,0.010456,0.016341,0.009606,0.008492,0.009102,0.0102,0.008385,0.008092,0.009573,0.008061,0.010291,0.00791,0.007922,0.007551,0.011172,0.007397,0.007294,0.007545,0.008523,0.006999,0.007395,0.007279,0.008035,0.008211,0.007099,0.007243,0.008128,0.007781,0.006801,0.007531,0.00813,0.007541,0.007717,0.006372,0.008139,0.008008,0.007185,0.006266,0.006438,0.00803,0.007398,0.00662,0.006439,0.007264,0.008048,0.007455,0.006265,0.007024,0.007227,0.008093,0.006429,0.007061,0.007228,0.007006,0.006617,0.007226,0.007195,0.007554,0.00626,0.007251,0.007105,0.006333,0.007354,0.007128,0.007361,0.007049,0.007242,0.006349,0.0062,0.006145,0.006504,0.007221,0.006359,0.006925,0.006086,0.006898,0.006727,0.006249,0.006004,0.006057,0.006155,0.006013,0.006713,0.00618,0.006687,0.005983,0.006671,0.006035,0.006298,0.006696,0.006792,0.006065,0.006026,0.005991,0.006229,0.006,0.006105,0.006882,0.005963,0.006041,0.005913,0.006736,0.006384,0.006216,0.006198,0.007067,0.006203,0.006307,0.00628,0.006879,0.007109,0.006335,0.006399,0.00627,0.006938,0.006297,0.006211,0.006264,0.006856,0.006359,0.006353,0.006502,0.006802,0.00617,0.006251,0.006168,0.006826,0.006838,0.006462,0.006344,0.006759,0.006719,0.006688,0.006311,0.006881,0.006776,0.00678,0.00621,0.006804,0.006816,0.006877,0.006255,0.006252,0.006733,0.006831,0.006145,0.006262,0.006945,0.006725,0.006817,0.006337,0.006954,0.006936,0.006921,0.006736,0.006365,0.006739,0.006224,0.006341,0.006303,0.006353,0.007198,0.007267,0.007273,0.007245,0.007208,0.007088,0.006662,0.007106,0.007145,0.007313,0.006784,0.006802,0.007401,0.007143,0.006517,0.006676,0.007165,0.006543,0.006811,0.006835,0.006687,0.006914,0.006714,0.006734,0.006841,0.006723,0.006773,0.006808,0.006856,0.006811,0.007278,0.007233,0.006668,0.006819,0.006812,0.006701,0.007267,0.00727,0.006647,0.006928,0.007214,0.006575,0.006771,0.006758,0.007093,0.00724,0.00697,0.006725,0.00684,0.006981,0.006698,0.006837,0.007286,0.007129,0.007211,0.00685,0.006909,0.006842,0.007206,0.007421,0.012636,0.012867,0.01219,0.012419,0.010478,0.013154,0.012783,0.012791,0.012367,0.012703
0.060192,0.038922,0.033789,0.028038,0.023821,0.021997,0.020031,0.017268,0.016307,0.015354,0.013752,0.013039,0.013523,0.012496,0.011626,0.011899,0.013156,0.010188,0.009536,0.010317,0.016202,0.009488,0.008623,0.009083,0.01085,0.008412,0.008331,0.009682,0.008119,0.010662,0.007908,0.007786,0.007507,0.011304,0.00745,0.007598,0.007604,0.008532,0.007098,0.007216,0.007526,0.008247,0.008242,0.00704,0.007044,0.007935,0.007773,0.006508,0.007115,0.008159,0.00769,0.007733,0.00643,0.008208,0.007923,0.007283,0.006225,0.006115,0.007886,0.007529,0.006408,0.00642,0.0074,0.008085,0.007264,0.006371,0.007168,0.007376,0.007887,0.006458,0.007132,0.007311,0.007518,0.006568,0.0073,0.00717,0.007607,0.006263,0.007163,0.007382,0.006306,0.00711,0.007108,0.007443,0.007187,0.006969,0.0061,0.006116,0.007083,0.006445,0.007364,0.006868,0.007012,0.006073,0.006087,0.006714,0.007136,0.005979,0.00603,0.00606,0.006071,0.006895,0.006946,0.006652,0.006041,0.006586,0.006,0.005906,0.006804,0.006816,0.00628,0.005973,0.005998,0.006083,0.006032,0.006052,0.006887,0.005893,0.006134,0.006135,0.006746,0.006272,0.006387,0.006223,0.006952,0.006359,0.006145,0.006269,0.006843,0.006856,0.006285,0.006284,0.006352,0.007036,0.00637,0.00621,0.006199,0.006803,0.006334,0.00663,0.006271,0.006956,0.006194,0.006365,0.006223,0.007089,0.006772,0.006315,0.006414,0.007111,0.006721,0.006747,0.006175,0.006844,0.006883,0.006717,0.006228,0.006801,0.006802,0.00684,0.006323,0.006221,0.006771,0.006916,0.006201,0.00636,0.006894,0.006691,0.006836,0.006268,0.006961,0.006782,0.006826,0.006907,0.006267,0.00672,0.00672,0.006283,0.006256,0.006319,0.00722,0.007244,0.007452,0.007275,0.007202,0.007099,0.006699,0.007111,0.007168,0.007403,0.006763,0.007403,0.006842,0.007226,0.007009,0.006749,0.007252,0.006498,0.006743,0.006878,0.006711,0.006709,0.00673,0.006684,0.006736,0.006684,0.006741,0.007205,0.006749,0.007289,0.006758,0.007235,0.006628,0.006778,0.006796,0.007144,0.007225,0.007282,0.006665,0.006777,0.007209,0.006632,0.006798,0.006802,0.007045,0.007234,0.00678,0.006729,0.006823,0.006776,0.006594,0.006834,0.007227,0.007311,0.007255,0.006924,0.006873,0.006918,0.007214,0.007628,0.010034,0.012314,0.012721,0.012858,0.010199,0.013225,0.013419,0.012978,0.012388,0.012829
0.059762,0.039747,0.034329,0.028158,0.023508,0.021769,0.020105,0.017558,0.01629,0.014974,0.014345,0.013324,0.013791,0.012812,0.01167,0.011945,0.013139,0.010293,0.009855,0.010263,0.016172,0.00945,0.008934,0.009018,0.010307,0.008203,0.008105,0.009564,0.00842,0.010214,0.007974,0.007752,0.00746,0.011301,0.007241,0.007265,0.007644,0.008824,0.007234,0.007063,0.007245,0.008196,0.008094,0.00711,0.007169,0.008031,0.0078,0.006578,0.007116,0.008072,0.007482,0.007553,0.006458,0.008235,0.008079,0.007323,0.00637,0.006211,0.008006,0.007556,0.006319,0.006383,0.007572,0.008029,0.007256,0.006304,0.007311,0.007338,0.008358,0.006673,0.007138,0.007395,0.007169,0.006551,0.007059,0.007172,0.007499,0.006247,0.007082,0.007212,0.006296,0.007224,0.007023,0.007466,0.007071,0.006856,0.006254,0.006457,0.00615,0.0064,0.007553,0.006178,0.006936,0.006281,0.007016,0.006646,0.00681,0.006135,0.005945,0.006033,0.006119,0.006716,0.006093,0.006743,0.00603,0.00666,0.006007,0.005967,0.006934,0.006687,0.006044,0.006038,0.005996,0.006085,0.006043,0.0061,0.006738,0.006085,0.006717,0.005934,0.006934,0.006383,0.006264,0.006113,0.006997,0.006269,0.006074,0.006213,0.006745,0.007031,0.006231,0.006291,0.006283,0.007434,0.006341,0.006204,0.006213,0.006962,0.006295,0.006361,0.00631,0.006868,0.00622,0.006213,0.006396,0.006794,0.006946,0.006289,0.006241,0.006659,0.006875,0.006825,0.006267,0.006793,0.006895,0.00681,0.006324,0.006733,0.006909,0.006872,0.006294,0.006405,0.006806,0.006712,0.006172,0.006281,0.007033,0.006827,0.007091,0.006382,0.006767,0.006768,0.006722,0.006951,0.006435,0.006787,0.00673,0.006282,0.006228,0.006339,0.007191,0.007514,0.007293,0.007207,0.007315,0.007153,0.006794,0.007148,0.007105,0.00736,0.006802,0.007432,0.007431,0.007252,0.006528,0.006712,0.007306,0.006483,0.006771,0.007311,0.006593,0.006684,0.006782,0.006758,0.006675,0.0067,0.006733,0.007195,0.006846,0.0072,0.006812,0.007259,0.00657,0.00677,0.00679,0.007121,0.007263,0.007322,0.00669,0.006778,0.007297,0.006652,0.006794,0.006826,0.007106,0.007552,0.006774,0.006787,0.006793,0.006823,0.00667,0.006816,0.007177,0.007234,0.007299,0.006918,0.00702,0.006894,0.007253,0.007424,0.009788,0.01281,0.012281,0.012694,0.010575,0.012407,0.012946,0.013171,0.012601,0.012997
0.059847,0.038969,0.033967,0.028443,0.023424,0.021902,0.02019,0.017298,0.016011,0.01483,0.013964,0.013289,0.013901,0.012382,0.011287,0.012196,0.013046,0.010177,0.009807,0.010273,0.016244,0.009287,0.008749,0.008879,0.010507,0.008204,0.007986,0.009753,0.008219,0.010429,0.008101,0.007773,0.007383,0.011076,0.007469,0.007277,0.007663,0.008652,0.007486,0.007092,0.007244,0.008226,0.008362,0.006939,0.0071,0.007866,0.007879,0.006544,0.007126,0.008049,0.007583,0.007646,0.006484,0.008119,0.008099,0.007346,0.006293,0.006288,0.008111,0.007552,0.006364,0.006379,0.007462,0.008045,0.007693,0.006366,0.007133,0.007344,0.00805,0.006433,0.007135,0.007347,0.007003,0.006627,0.007159,0.007241,0.007555,0.006343,0.007141,0.007234,0.006336,0.007449,0.006958,0.007552,0.007325,0.006822,0.006176,0.006973,0.006872,0.006442,0.006378,0.007035,0.00687,0.006121,0.006194,0.006881,0.00672,0.00597,0.006014,0.006184,0.005978,0.00679,0.006891,0.006906,0.005988,0.00612,0.006222,0.005982,0.006846,0.006677,0.006069,0.006015,0.006062,0.006157,0.005983,0.007004,0.006978,0.005907,0.006155,0.006481,0.006758,0.006287,0.006204,0.006109,0.006902,0.006195,0.006202,0.006262,0.006899,0.006872,0.006261,0.006264,0.006916,0.006877,0.006383,0.006209,0.006249,0.007101,0.006259,0.006255,0.006246,0.006961,0.006074,0.00651,0.006205,0.006817,0.006933,0.006406,0.006524,0.006775,0.006762,0.006941,0.006298,0.006783,0.006301,0.006823,0.006209,0.006857,0.006771,0.006785,0.006266,0.006248,0.006729,0.006822,0.006173,0.006378,0.006932,0.00676,0.006908,0.00629,0.006933,0.006739,0.006736,0.0068,0.006781,0.006805,0.006839,0.006219,0.006284,0.006334,0.007248,0.007247,0.007219,0.007288,0.007202,0.007141,0.006623,0.00728,0.00714,0.007339,0.006895,0.007432,0.007506,0.007195,0.007141,0.006706,0.00717,0.006639,0.006739,0.00677,0.006572,0.006809,0.006768,0.006694,0.006737,0.006711,0.00673,0.007231,0.006943,0.007316,0.007214,0.007258,0.00658,0.006703,0.006804,0.007091,0.007253,0.007308,0.006631,0.006848,0.007234,0.006629,0.006767,0.006757,0.00708,0.007282,0.006851,0.006783,0.006838,0.006802,0.006722,0.006786,0.007222,0.007176,0.007322,0.00693,0.006855,0.006893,0.007254,0.007362,0.009858,0.012612,0.012787,0.012857,0.01008,0.012971,0.013344,0.012872,0.012334,0.012956
0.060203,0.03995,0.033548,0.028479,0.023554,0.022191,0.020083,0.017211,0.016224,0.014792,0.013828,0.013106,0.013947,0.012232,0.011498,0.012196,0.013179,0.010299,0.009811,0.010225,0.016583,0.009401,0.008697,0.008896,0.010488,0.008266,0.008175,0.009822,0.008295,0.010262,0.008014,0.007737,0.007472,0.01151,0.007475,0.007434,0.007623,0.00851,0.007075,0.007022,0.007272,0.008246,0.008308,0.007006,0.007214,0.007918,0.007871,0.006513,0.007128,0.008166,0.007917,0.007663,0.006369,0.008199,0.00812,0.007182,0.006243,0.006248,0.008158,0.007464,0.006405,0.006246,0.007275,0.00828,0.007283,0.006412,0.007078,0.007305,0.008121,0.006454,0.007039,0.007273,0.00732,0.006683,0.007144,0.007209,0.007578,0.006344,0.007054,0.007117,0.006352,0.007259,0.006944,0.007508,0.007045,0.006982,0.006035,0.007038,0.007004,0.006393,0.007303,0.006381,0.0069,0.006221,0.006144,0.006753,0.006679,0.006036,0.006018,0.006163,0.005921,0.00672,0.007193,0.00668,0.006091,0.005946,0.005956,0.005974,0.00683,0.006688,0.005966,0.006043,0.006598,0.006073,0.006081,0.006206,0.006904,0.005876,0.006081,0.005955,0.006782,0.006351,0.006388,0.006162,0.006935,0.006332,0.006109,0.006263,0.006878,0.006908,0.006345,0.006303,0.006326,0.006841,0.006328,0.006191,0.006232,0.006821,0.006276,0.006264,0.006249,0.006724,0.006315,0.006249,0.006289,0.006962,0.006873,0.006618,0.006323,0.00673,0.006744,0.006745,0.006437,0.006992,0.006846,0.006868,0.006382,0.006828,0.006839,0.006744,0.006228,0.006287,0.006728,0.006737,0.006178,0.006524,0.006928,0.006712,0.006881,0.006307,0.006721,0.006803,0.006778,0.006788,0.006319,0.006746,0.006794,0.006277,0.006444,0.006828,0.007201,0.007214,0.007292,0.007292,0.007223,0.006595,0.006699,0.007133,0.00723,0.007372,0.006822,0.00744,0.007051,0.007181,0.007115,0.006659,0.007226,0.006487,0.006816,0.006822,0.006677,0.006749,0.006858,0.006585,0.006755,0.006737,0.006678,0.007324,0.006827,0.007276,0.007221,0.007256,0.006626,0.006813,0.00681,0.00712,0.007494,0.007288,0.006603,0.006813,0.007264,0.006576,0.00674,0.006752,0.007126,0.007197,0.006904,0.006872,0.006868,0.006849,0.006927,0.006816,0.007241,0.007229,0.007526,0.006829,0.006893,0.00685,0.007368,0.006946,0.012627,0.012833,0.013142,0.012758,0.010355,0.013158,0.012559,0.013992,0.01392,0.012864
0.0597,0.038446,0.034084,0.027979,0.023657,0.021945,0.020433,0.017524,0.016135,0.014943,0.013831,0.013026,0.013831,0.012641,0.011398,0.01181,0.012883,0.010197,0.00982,0.010102,0.016661,0.0093,0.008749,0.009241,0.010188,0.008384,0.007999,0.009806,0.008093,0.010336,0.008276,0.00774,0.007346,0.011326,0.007765,0.007249,0.007825,0.008477,0.007096,0.00691,0.007359,0.008318,0.008006,0.00725,0.007021,0.008,0.007932,0.006706,0.007041,0.008076,0.007545,0.007563,0.006409,0.008046,0.008096,0.007326,0.006263,0.006186,0.008129,0.006377,0.006393,0.006429,0.007361,0.008101,0.007486,0.0064,0.0071,0.007291,0.007904,0.006355,0.007365,0.007237,0.007016,0.006586,0.007175,0.007341,0.007659,0.006259,0.00695,0.007083,0.006342,0.007207,0.007291,0.007507,0.007002,0.007175,0.006151,0.00696,0.007001,0.006421,0.006439,0.00694,0.007024,0.006167,0.00604,0.006803,0.006805,0.006025,0.006044,0.006007,0.006285,0.006873,0.006835,0.006758,0.006044,0.006054,0.006119,0.006011,0.006654,0.006781,0.006199,0.005947,0.00613,0.006181,0.006061,0.006149,0.006681,0.005918,0.006877,0.006058,0.006795,0.006337,0.006366,0.006177,0.006946,0.006269,0.006089,0.006161,0.006871,0.007001,0.006314,0.006269,0.006371,0.006842,0.006286,0.006474,0.006348,0.00676,0.006229,0.006255,0.006422,0.007052,0.006153,0.006187,0.006208,0.006887,0.006796,0.006232,0.006269,0.006766,0.006673,0.006787,0.006239,0.006987,0.006902,0.006845,0.00626,0.007003,0.006951,0.006908,0.006392,0.006174,0.006637,0.00673,0.006291,0.006288,0.006906,0.006761,0.006862,0.006226,0.006672,0.006791,0.006782,0.006733,0.006504,0.006765,0.006803,0.006241,0.006264,0.006258,0.007168,0.007252,0.007161,0.007321,0.007226,0.007139,0.006686,0.007227,0.007068,0.007328,0.006753,0.007404,0.007402,0.007254,0.006965,0.006747,0.007273,0.00651,0.006763,0.006821,0.006623,0.006762,0.006734,0.006533,0.00674,0.006681,0.006745,0.007299,0.006794,0.007356,0.006742,0.007225,0.007122,0.006788,0.006774,0.007139,0.007307,0.007283,0.006658,0.006801,0.007205,0.006646,0.006805,0.006847,0.007054,0.007232,0.006949,0.00685,0.006828,0.006756,0.006745,0.006804,0.007216,0.007228,0.007282,0.006866,0.006891,0.006881,0.007188,0.007439,0.009866,0.01238,0.013104,0.012959,0.01048,0.012767,0.014239,0.013025,0.013145,0.013112
