TimeStamp,GraphName,NumVertices,NumEdges,Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-09_114035,gnutella30_bi,73364,176656,ppf1_Greedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0.115235,0.079395,0.06234,0.078922,0.042534,0.035416,0.039415,0.035024,0.032737,0.023279,0.028945,0.025237,0.023707,0.020827,0.019638,0.018941,0.017921,0.014241,0.016806,0.013641,0.013537,0.014843,0.01668,0.015952,0.013301,0.013067,0.012921,0.012349,0.013564,0.014716,0.014813,0.01303,0.012769,0.010735,0.010744,0.010526,0.011046,0.010419,0.010324,0.010438,0.010646,0.011736,0.010128,0.009772,0.009942,0.009741,0.01042,0.010551,0.010312,0.009178,0.012297,0.00926,0.009213,0.009298,0.010233,0.010249,0.008935,0.00873,0.008899,0.007845,0.007709,0.009639,0.008779,0.009489,0.009568,0.007971,0.00886,0.008081,0.00896,0.010171,0.00923,0.009175,0.008277,0.008176,0.008497,0.009337,0.009493,0.009466,0.010193,0.008746,0.008749,0.008582,0.008253,0.008523,0.009278,0.008715,0.008574,0.008666,0.008506,0.009363,0.008337,0.008304,0.00852,0.00846,0.009402,0.008394,0.008159,0.008852,0.008429,0.008304,0.008469,0.00828,0.008261,0.00828,0.008379,0.008261,0.008401,0.007579,0.008299,0.008365,0.008135,0.008129,0.008397,0.008325,0.008215,0.008266,0.00746,0.008199,0.008169,0.008124,0.008167,0.008371,0.008458,0.008648,0.00909,0.008548,0.009108,0.008196,0.00844,0.008396,0.008589,0.008453,0.008587,0.008349,0.008404,0.007916,0.008342,0.008565,0.008935,0.009287,0.007881,0.008655,0.008307,0.008608,0.007836,0.008538,0.008348,0.007969,0.007911,0.008497,0.008478,0.008602,0.007925,0.008505,0.008955,0.007932,0.008478,0.008712,0.008606,0.008414,0.008629,0.007968,0.00859,0.008594,0.008691,0.008725,0.008724,0.008598,0.008565,0.007884,0.008234,0.008235,0.008291,0.008494,0.008526,0.008282,0.008388,0.007927,0.00825,0.008538,0.008336,0.008731,0.008788,0.008779,0.008639,0.008868,0.009647,0.008255,0.008872,0.008323,0.008789,0.008841,0.008868,0.00886,0.008812,0.009031,0.0092,0.008563,0.00815,0.008846,0.008348,0.008342,0.008775,0.008895,0.008912,0.009177,0.008874,0.009341,0.008962,0.00881,0.008426,0.008873,0.008719,0.008914,0.00893,0.009047,0.008914,0.009024,0.008496,0.008851,0.008888,0.008989,0.008532,0.008934,0.009115,0.009023,0.009046,0.008978,0.008625,0.008383,0.008556,0.008501,0.008801,0.009237,0.008516,0.009029,0.009109,0.009041,0.009149,0.00905,0.018416,0.01618,0.015806,0.016389,0.016446,0.017649,0.016987,0.014759,0.014899,0.016287
0.11456,0.078695,0.079146,0.065688,0.052237,0.046211,0.037399,0.031818,0.032657,0.029115,0.032105,0.024274,0.026517,0.020411,0.023201,0.018295,0.017466,0.01374,0.01633,0.015752,0.015172,0.014414,0.016162,0.016329,0.013335,0.01252,0.012493,0.014893,0.01197,0.012399,0.011932,0.012853,0.010977,0.010412,0.010369,0.010146,0.010318,0.010006,0.011355,0.010942,0.011123,0.011374,0.008757,0.009364,0.010634,0.009178,0.009875,0.009873,0.010253,0.011632,0.009391,0.0086,0.010015,0.00874,0.008634,0.009613,0.010754,0.008596,0.008636,0.009481,0.008455,0.008439,0.008343,0.009372,0.008374,0.008441,0.008206,0.008751,0.00868,0.008816,0.008609,0.008742,0.008756,0.007686,0.008749,0.007849,0.008762,0.008911,0.008882,0.008256,0.008274,0.008625,0.008087,0.007918,0.008192,0.007914,0.007941,0.007891,0.008317,0.009063,0.007871,0.007779,0.007686,0.007857,0.007664,0.008609,0.007918,0.007953,0.007758,0.007645,0.007889,0.008458,0.008542,0.00766,0.007691,0.007963,0.007687,0.007144,0.007569,0.007726,0.007645,0.007603,0.007562,0.007636,0.007673,0.007454,0.007538,0.007458,0.007451,0.007677,0.007951,0.007694,0.007839,0.007925,0.007862,0.00764,0.007845,0.007074,0.007852,0.006979,0.007779,0.007632,0.007,0.007749,0.007642,0.007032,0.008114,0.007646,0.00779,0.008215,0.007079,0.007558,0.007931,0.006997,0.007203,0.007684,0.007813,0.007638,0.007038,0.007826,0.007215,0.00811,0.007726,0.00786,0.007774,0.007077,0.007903,0.007768,0.007852,0.007612,0.007701,0.007698,0.007723,0.008337,0.007964,0.007116,0.007748,0.007729,0.007672,0.007484,0.007453,0.007859,0.007682,0.007446,0.00745,0.007347,0.006884,0.007365,0.007378,0.007378,0.007838,0.007796,0.007874,0.0078,0.007515,0.007749,0.008349,0.007753,0.007985,0.007317,0.008012,0.007769,0.00726,0.007804,0.007841,0.007827,0.007428,0.007267,0.007656,0.007269,0.007212,0.007749,0.007234,0.007675,0.007908,0.007847,0.008011,0.008259,0.007782,0.007784,0.007826,0.00789,0.007117,0.007835,0.007756,0.007828,0.007771,0.008236,0.007792,0.007828,0.007854,0.007786,0.00744,0.007344,0.007745,0.007908,0.007757,0.007796,0.007558,0.007211,0.007353,0.00731,0.007527,0.007606,0.007822,0.007768,0.007384,0.008015,0.007918,0.007785,0.028015,0.014834,0.014394,0.01348,0.012293,0.014852,0.015763,0.015436,0.012721,0.017338
0.114976,0.078353,0.097993,0.079008,0.056608,0.035457,0.040059,0.032472,0.030381,0.029413,0.02876,0.025977,0.022308,0.020516,0.023214,0.01831,0.0172,0.016594,0.016183,0.013044,0.015135,0.014476,0.016108,0.015657,0.017984,0.013307,0.012128,0.012833,0.012332,0.011356,0.011094,0.01212,0.010957,0.010463,0.008972,0.010479,0.010119,0.01008,0.00995,0.009854,0.011,0.011139,0.008291,0.009569,0.010599,0.009438,0.01005,0.009949,0.009881,0.007776,0.008861,0.009988,0.008903,0.008783,0.009679,0.009575,0.008264,0.008373,0.010702,0.007375,0.008416,0.009287,0.00838,0.008248,0.008232,0.007354,0.008447,0.008757,0.009476,0.009758,0.008547,0.008685,0.00882,0.007939,0.008853,0.00875,0.008831,0.009014,0.009737,0.008284,0.008125,0.008038,0.008235,0.008152,0.008046,0.008162,0.007863,0.008027,0.007208,0.008752,0.007926,0.007947,0.007903,0.007826,0.007938,0.007978,0.007662,0.00781,0.008369,0.007185,0.007737,0.008478,0.007897,0.007641,0.007661,0.007779,0.006954,0.007688,0.008366,0.007651,0.007636,0.007691,0.007755,0.007781,0.008594,0.007864,0.00711,0.007532,0.0075,0.007669,0.007883,0.007888,0.007822,0.007919,0.007769,0.008224,0.007979,0.007268,0.00775,0.007528,0.007617,0.007802,0.007945,0.007669,0.007563,0.007202,0.007639,0.008602,0.008188,0.008471,0.007575,0.007922,0.007684,0.007845,0.007444,0.007825,0.00768,0.007207,0.007003,0.007728,0.007727,0.007237,0.00772,0.007717,0.007766,0.007277,0.007803,0.007764,0.007163,0.006935,0.007758,0.007766,0.007887,0.007714,0.007741,0.007106,0.007881,0.008524,0.007762,0.006937,0.00725,0.007414,0.00791,0.006874,0.007642,0.007386,0.006849,0.006837,0.007321,0.0075,0.007866,0.007797,0.007928,0.0078,0.007688,0.00781,0.007717,0.007777,0.007933,0.008108,0.007763,0.007839,0.007884,0.007839,0.00814,0.007773,0.00783,0.00781,0.007951,0.007749,0.0073,0.007766,0.007344,0.00777,0.008353,0.00777,0.007773,0.008237,0.007837,0.007756,0.008067,0.007814,0.007638,0.007783,0.007775,0.007808,0.007861,0.007834,0.007745,0.00781,0.007819,0.007839,0.007279,0.007836,0.007775,0.007847,0.007804,0.00778,0.007461,0.007177,0.007596,0.007393,0.007509,0.007993,0.007786,0.00732,0.007908,0.007704,0.007912,0.007319,0.016667,0.015034,0.014889,0.015298,0.012573,0.012597,0.012788,0.015764,0.01616,0.015506
0.114749,0.078369,0.079283,0.061341,0.046891,0.046326,0.037154,0.032853,0.031999,0.029012,0.032341,0.024872,0.021472,0.020491,0.01949,0.019016,0.017432,0.013596,0.016253,0.015398,0.012414,0.014176,0.01618,0.015577,0.01308,0.012991,0.012501,0.011538,0.011178,0.013461,0.012674,0.014096,0.011085,0.010557,0.01074,0.010351,0.009703,0.009868,0.010949,0.010858,0.010378,0.01118,0.008526,0.009645,0.009397,0.009588,0.010053,0.009961,0.009974,0.01044,0.008852,0.008803,0.008573,0.009763,0.008768,0.008428,0.011183,0.009399,0.009239,0.007445,0.009542,0.009359,0.009199,0.00945,0.007388,0.007561,0.008353,0.008679,0.00957,0.009772,0.008819,0.008734,0.008768,0.008741,0.008916,0.008918,0.008988,0.008959,0.008737,0.0085,0.007371,0.007923,0.008106,0.007912,0.007974,0.00828,0.008302,0.008195,0.007842,0.008675,0.007887,0.007675,0.007731,0.008125,0.007961,0.008012,0.007911,0.008529,0.007654,0.007683,0.007709,0.007957,0.008451,0.007587,0.007671,0.007816,0.007815,0.006943,0.007799,0.007701,0.007779,0.00765,0.007593,0.007019,0.00771,0.006803,0.007587,0.007666,0.00785,0.007736,0.007831,0.007677,0.007857,0.007944,0.007792,0.007823,0.007973,0.007067,0.007867,0.007913,0.007891,0.007147,0.007731,0.007593,0.00761,0.007594,0.007815,0.007991,0.007853,0.008222,0.007146,0.007706,0.00839,0.007719,0.007752,0.007545,0.007813,0.007558,0.007028,0.007732,0.007689,0.007738,0.007728,0.007714,0.007785,0.007022,0.007827,0.008426,0.007676,0.007713,0.007918,0.007687,0.007759,0.007073,0.007056,0.00709,0.008428,0.007633,0.007741,0.006876,0.007274,0.007905,0.008086,0.007377,0.007482,0.007398,0.006921,0.007643,0.007534,0.007326,0.007843,0.008437,0.007865,0.007913,0.007706,0.007819,0.007854,0.007813,0.007878,0.007967,0.007749,0.007853,0.007838,0.00781,0.007794,0.007743,0.007866,0.007738,0.007613,0.007735,0.007882,0.007782,0.007347,0.007806,0.007743,0.007835,0.007764,0.008355,0.007805,0.007811,0.00792,0.007332,0.007701,0.007805,0.007736,0.007914,0.007844,0.007756,0.00733,0.007717,0.007808,0.00783,0.007284,0.007886,0.007781,0.008162,0.007848,0.007762,0.007433,0.007422,0.007309,0.007346,0.007584,0.008003,0.007782,0.007818,0.007808,0.007728,0.00793,0.007813,0.014873,0.012644,0.012685,0.016099,0.015543,0.017969,0.013322,0.015347,0.015227,0.015393
0.115307,0.078562,0.086505,0.082731,0.056629,0.034731,0.040823,0.03527,0.029654,0.029492,0.028769,0.02851,0.023355,0.020375,0.023449,0.019419,0.017338,0.016927,0.016262,0.012639,0.014914,0.014143,0.016825,0.015442,0.013073,0.01295,0.012596,0.011553,0.013741,0.013021,0.010971,0.013284,0.012227,0.010725,0.009283,0.010309,0.012373,0.010094,0.009998,0.009808,0.009701,0.011281,0.008313,0.009534,0.010579,0.010523,0.009787,0.009978,0.009922,0.008309,0.008492,0.01015,0.008807,0.008538,0.00856,0.010935,0.008736,0.008116,0.01063,0.008327,0.00741,0.008297,0.009241,0.008288,0.007227,0.008379,0.008326,0.00773,0.008757,0.008784,0.008668,0.008712,0.008925,0.008774,0.008836,0.007876,0.008794,0.008827,0.009921,0.007341,0.008127,0.008386,0.008379,0.007974,0.007969,0.008178,0.007878,0.00786,0.008052,0.00894,0.007325,0.007891,0.007819,0.007997,0.007624,0.00775,0.007886,0.00792,0.00789,0.007968,0.007807,0.008627,0.007709,0.007788,0.0078,0.008074,0.007,0.008352,0.007604,0.007691,0.007866,0.00766,0.007879,0.007846,0.007695,0.007589,0.00684,0.008501,0.007465,0.007721,0.007823,0.008532,0.008404,0.007861,0.008094,0.007868,0.007718,0.00718,0.007735,0.007715,0.007822,0.00772,0.007687,0.008242,0.007763,0.007991,0.007613,0.007756,0.00838,0.007834,0.006998,0.007867,0.007468,0.007891,0.007639,0.008,0.007717,0.007774,0.007102,0.007715,0.007643,0.007814,0.007256,0.007839,0.007817,0.007731,0.007733,0.007779,0.007808,0.007627,0.007725,0.00718,0.007685,0.007728,0.007765,0.00706,0.007726,0.007671,0.007688,0.006892,0.00726,0.008059,0.007376,0.007417,0.007431,0.007603,0.007357,0.006898,0.0075,0.007436,0.007732,0.007302,0.007788,0.007815,0.007643,0.007707,0.007799,0.007738,0.007873,0.007431,0.007852,0.0078,0.007869,0.007889,0.007812,0.007672,0.007382,0.007967,0.007725,0.007747,0.007755,0.007747,0.007764,0.007869,0.007844,0.007812,0.007894,0.008352,0.007719,0.007808,0.008268,0.007791,0.007628,0.007814,0.00787,0.00777,0.00782,0.007822,0.007324,0.007721,0.007808,0.007879,0.007812,0.007761,0.008009,0.007764,0.007801,0.007733,0.00741,0.007138,0.007772,0.007341,0.007575,0.007985,0.007865,0.007864,0.007341,0.00779,0.007907,0.007849,0.015074,0.013148,0.015058,0.015521,0.01515,0.014838,0.016046,0.013213,0.013254,0.014973
0.116041,0.078444,0.103867,0.078196,0.056865,0.04704,0.036922,0.031762,0.032325,0.029654,0.032053,0.025312,0.026563,0.020594,0.019351,0.018364,0.02117,0.017245,0.01701,0.012572,0.014843,0.014589,0.016378,0.015282,0.013257,0.012739,0.012206,0.011434,0.011667,0.01547,0.013302,0.012689,0.012302,0.010311,0.009095,0.010437,0.011443,0.008517,0.010884,0.010709,0.011545,0.01103,0.011171,0.00942,0.010409,0.009322,0.010397,0.010013,0.009886,0.008657,0.010102,0.009036,0.008646,0.010052,0.007562,0.008697,0.008542,0.009483,0.00851,0.007482,0.010851,0.00914,0.008247,0.008388,0.009305,0.008359,0.008319,0.008771,0.00963,0.009509,0.008635,0.007695,0.008845,0.007779,0.00878,0.008764,0.008868,0.008959,0.008813,0.008123,0.008803,0.007935,0.008182,0.007964,0.008153,0.008412,0.007899,0.00796,0.007902,0.007972,0.00792,0.007207,0.008009,0.007881,0.007804,0.008445,0.007788,0.00762,0.007675,0.007697,0.007729,0.008573,0.007827,0.007905,0.00771,0.007822,0.007684,0.007999,0.007746,0.008435,0.007804,0.007775,0.007569,0.00686,0.007767,0.007539,0.007731,0.007507,0.007917,0.007761,0.008026,0.007778,0.007997,0.007819,0.007897,0.007804,0.00783,0.007034,0.007956,0.007574,0.007717,0.007816,0.007793,0.008281,0.007791,0.007686,0.007816,0.007581,0.007902,0.008154,0.007303,0.007751,0.007804,0.007517,0.007907,0.0075,0.008099,0.007607,0.007091,0.007745,0.007742,0.00785,0.007805,0.007689,0.007759,0.007877,0.007785,0.007832,0.007731,0.0079,0.007825,0.007812,0.007668,0.007661,0.007108,0.007165,0.008398,0.007744,0.007686,0.007548,0.00736,0.008231,0.0081,0.007652,0.007538,0.007597,0.006854,0.007326,0.007439,0.007551,0.00771,0.007861,0.007594,0.007885,0.007556,0.007815,0.008278,0.007751,0.007885,0.007875,0.008147,0.007821,0.007804,0.008133,0.007776,0.007699,0.00738,0.007845,0.007075,0.007236,0.007786,0.007774,0.007937,0.007872,0.008249,0.007732,0.007779,0.008211,0.007871,0.007897,0.00778,0.007781,0.007735,0.00791,0.007789,0.007739,0.007789,0.007786,0.007938,0.007702,0.007772,0.007791,0.007403,0.007313,0.007787,0.007786,0.007636,0.007714,0.007437,0.007187,0.007791,0.007317,0.007566,0.008017,0.007704,0.007324,0.007858,0.007774,0.008007,0.007818,0.012688,0.01518,0.015052,0.014724,0.01577,0.014999,0.015825,0.014754,0.013053,0.015861
0.115594,0.078092,0.109649,0.065557,0.046599,0.034618,0.039332,0.032132,0.032599,0.029236,0.028876,0.025117,0.031038,0.020434,0.023443,0.018353,0.017477,0.013878,0.016533,0.012712,0.014891,0.014894,0.013887,0.015632,0.014947,0.01276,0.01225,0.012437,0.012717,0.011659,0.011085,0.011016,0.012463,0.010353,0.008956,0.010509,0.011926,0.011654,0.010134,0.011091,0.010265,0.011128,0.009535,0.010922,0.010678,0.009109,0.009879,0.010136,0.009893,0.008837,0.008821,0.008855,0.00984,0.008948,0.007582,0.009603,0.00953,0.009192,0.008528,0.009304,0.008527,0.008404,0.009448,0.009155,0.008521,0.007415,0.00723,0.008644,0.008676,0.00862,0.00863,0.007709,0.008843,0.007696,0.008777,0.008987,0.008926,0.008877,0.009687,0.007252,0.008381,0.007374,0.00792,0.007873,0.008033,0.008103,0.007942,0.008248,0.007992,0.008855,0.007337,0.007837,0.00701,0.007774,0.007934,0.008631,0.008608,0.007602,0.007773,0.007752,0.008518,0.007858,0.008403,0.007794,0.007605,0.007632,0.007649,0.007794,0.007657,0.007715,0.007663,0.007718,0.007703,0.007676,0.007008,0.007595,0.00682,0.007582,0.007549,0.007527,0.007776,0.007665,0.007942,0.007959,0.008494,0.008013,0.007671,0.00784,0.007725,0.007547,0.007839,0.007889,0.007617,0.00772,0.007655,0.007194,0.007663,0.00768,0.008294,0.008418,0.007622,0.007879,0.007681,0.007882,0.007558,0.007817,0.007587,0.008023,0.007091,0.007671,0.007707,0.007765,0.00778,0.007701,0.007718,0.00709,0.007801,0.008424,0.007709,0.007576,0.007883,0.007849,0.00708,0.007782,0.007203,0.007273,0.007804,0.008268,0.007795,0.006861,0.007324,0.007574,0.007886,0.007561,0.007582,0.007366,0.00726,0.007486,0.007434,0.007536,0.00789,0.007956,0.007943,0.00734,0.007505,0.007955,0.008262,0.007688,0.007886,0.007947,0.007804,0.007946,0.007857,0.00788,0.007827,0.007722,0.007316,0.007842,0.007619,0.007737,0.007789,0.007752,0.007758,0.008018,0.008341,0.007775,0.007774,0.007735,0.007755,0.007185,0.007309,0.007854,0.007634,0.007782,0.008521,0.007911,0.007749,0.007841,0.007705,0.007693,0.007805,0.007756,0.007439,0.007846,0.007825,0.008236,0.007674,0.007754,0.007457,0.007225,0.00735,0.007312,0.007574,0.007986,0.007763,0.00784,0.007869,0.007782,0.007896,0.007843,0.01288,0.014573,0.012741,0.01218,0.012538,0.015276,0.016092,0.01669,0.015565,0.016927
0.114943,0.078589,0.061896,0.079142,0.056917,0.046713,0.037418,0.033125,0.030828,0.029112,0.032327,0.028326,0.021204,0.020248,0.019683,0.018338,0.017385,0.013706,0.016344,0.013154,0.018082,0.014571,0.016221,0.01609,0.013039,0.01271,0.013243,0.012127,0.011774,0.013093,0.01498,0.011119,0.012808,0.01083,0.010292,0.010252,0.00966,0.009861,0.01094,0.011205,0.009643,0.009422,0.009623,0.009469,0.011939,0.009298,0.009019,0.009998,0.010044,0.008621,0.011616,0.008651,0.008679,0.008514,0.009676,0.008691,0.009329,0.008514,0.008462,0.008257,0.008541,0.009201,0.008415,0.009046,0.009135,0.008234,0.008584,0.007643,0.008641,0.009634,0.008822,0.008802,0.008766,0.007742,0.007846,0.008894,0.008747,0.008719,0.008758,0.008056,0.008012,0.00821,0.008063,0.008425,0.008237,0.007968,0.007867,0.008484,0.008084,0.007986,0.007076,0.008172,0.007193,0.00781,0.007624,0.007777,0.007745,0.007759,0.007805,0.007818,0.007708,0.007952,0.007691,0.007832,0.007585,0.007883,0.007113,0.007159,0.007616,0.008226,0.007657,0.007662,0.007549,0.007559,0.007659,0.007556,0.007541,0.006871,0.007542,0.007552,0.008058,0.007644,0.007884,0.007814,0.008061,0.007787,0.008044,0.007151,0.007833,0.007753,0.007678,0.007738,0.007759,0.008315,0.007676,0.007604,0.007881,0.007496,0.007799,0.007745,0.007142,0.007594,0.007184,0.00774,0.007827,0.00762,0.007286,0.007577,0.007062,0.0079,0.007729,0.007889,0.007848,0.007617,0.007691,0.007697,0.007659,0.007912,0.007768,0.007654,0.007765,0.007728,0.007702,0.007722,0.00707,0.007115,0.007897,0.007649,0.007701,0.007543,0.007295,0.007386,0.008015,0.007394,0.007612,0.007369,0.006901,0.007375,0.007354,0.007378,0.007823,0.00777,0.00777,0.007858,0.007729,0.007787,0.007803,0.007697,0.007853,0.007862,0.00782,0.008102,0.0078,0.007881,0.007809,0.007785,0.007341,0.007839,0.007688,0.007285,0.007774,0.007762,0.007681,0.007987,0.0078,0.007794,0.007814,0.007785,0.007773,0.007104,0.007416,0.007795,0.007568,0.00784,0.007768,0.00781,0.007756,0.008185,0.007366,0.007246,0.007803,0.007712,0.007353,0.007989,0.007891,0.0078,0.007671,0.007348,0.007739,0.007324,0.007392,0.007362,0.007559,0.007814,0.007767,0.007404,0.00739,0.007739,0.007875,0.007824,0.01254,0.014955,0.01482,0.012817,0.015194,0.014651,0.012947,0.014707,0.015508,0.015974
0.114921,0.078795,0.079761,0.061075,0.056565,0.03495,0.038056,0.035147,0.031812,0.029196,0.028614,0.036036,0.023242,0.020175,0.019312,0.018858,0.017263,0.016579,0.0162,0.016104,0.015119,0.014515,0.016069,0.015992,0.01298,0.012708,0.012537,0.013522,0.012966,0.011106,0.013048,0.01424,0.012709,0.010474,0.010495,0.01047,0.010785,0.009976,0.010003,0.009944,0.009674,0.01114,0.009671,0.009522,0.00945,0.010309,0.00999,0.01002,0.009962,0.011413,0.009188,0.008612,0.009976,0.008679,0.008631,0.0086,0.00995,0.008636,0.008147,0.009247,0.008615,0.00922,0.008352,0.009264,0.008462,0.008377,0.007311,0.008645,0.00863,0.009621,0.00864,0.008731,0.008815,0.007882,0.007769,0.008707,0.008729,0.008796,0.008756,0.008118,0.008004,0.007961,0.007818,0.007929,0.008885,0.008258,0.009193,0.007807,0.007888,0.008624,0.007729,0.007881,0.007149,0.007985,0.00806,0.008385,0.007683,0.007716,0.007902,0.007654,0.008425,0.008845,0.007681,0.007806,0.008289,0.00779,0.00767,0.007807,0.007482,0.007719,0.007638,0.007742,0.007602,0.00765,0.007802,0.007673,0.006891,0.006747,0.00773,0.00754,0.007725,0.008805,0.007857,0.007945,0.007895,0.007905,0.007767,0.007862,0.007866,0.007734,0.007825,0.007007,0.007625,0.007787,0.007516,0.007185,0.007805,0.008408,0.007606,0.008603,0.007561,0.00779,0.007796,0.007839,0.007596,0.00783,0.007827,0.007184,0.007067,0.007984,0.007059,0.007326,0.007726,0.007728,0.007787,0.007087,0.007952,0.007738,0.007677,0.007564,0.007719,0.007746,0.0079,0.007773,0.007842,0.007141,0.007807,0.00764,0.007694,0.00741,0.007392,0.007983,0.007421,0.007446,0.007361,0.007386,0.006821,0.007472,0.007368,0.007341,0.008335,0.008324,0.00787,0.007793,0.007577,0.007935,0.007731,0.007311,0.007997,0.007992,0.007958,0.007786,0.007757,0.007813,0.007948,0.007719,0.007418,0.007799,0.007673,0.007776,0.007788,0.00772,0.007726,0.007897,0.008279,0.007792,0.007755,0.008353,0.007806,0.007209,0.007767,0.007946,0.007211,0.00802,0.007894,0.007818,0.007755,0.007966,0.00729,0.007726,0.007799,0.007782,0.007316,0.007449,0.007757,0.007872,0.007623,0.007788,0.007484,0.007311,0.007798,0.007375,0.0075,0.008075,0.00778,0.007297,0.007851,0.007774,0.007901,0.007814,0.015115,0.015394,0.017831,0.014884,0.014848,0.015899,0.015327,0.013207,0.016042,0.015959
0.11486,0.078475,0.097919,0.082553,0.04721,0.046208,0.037567,0.031603,0.029637,0.029588,0.032177,0.030055,0.027154,0.020408,0.0234,0.019017,0.020538,0.016599,0.016106,0.012932,0.014999,0.014388,0.01587,0.015526,0.018276,0.012562,0.012611,0.011933,0.01238,0.011751,0.010817,0.012808,0.012245,0.010495,0.010913,0.010356,0.010314,0.009974,0.01098,0.010728,0.010667,0.011356,0.009719,0.010934,0.010657,0.009246,0.010141,0.009949,0.010021,0.008808,0.008721,0.009883,0.008865,0.008493,0.009596,0.008489,0.008291,0.008815,0.010661,0.007373,0.008581,0.010599,0.008342,0.008324,0.008224,0.008447,0.008242,0.008803,0.009441,0.009615,0.008855,0.008679,0.008824,0.00768,0.008897,0.007958,0.008777,0.008745,0.00878,0.008145,0.008239,0.00834,0.008251,0.008135,0.007993,0.007877,0.007834,0.008977,0.008074,0.008951,0.007986,0.00788,0.008096,0.008005,0.008495,0.007675,0.007997,0.007747,0.00777,0.007673,0.007665,0.008919,0.007912,0.007764,0.007627,0.007605,0.007738,0.007382,0.007736,0.00762,0.007647,0.007565,0.007608,0.007868,0.007721,0.007755,0.00757,0.007622,0.008355,0.007416,0.00779,0.007674,0.007891,0.007936,0.007837,0.007648,0.008507,0.007755,0.008511,0.007569,0.007745,0.007731,0.007854,0.008242,0.007562,0.007864,0.007874,0.007557,0.00796,0.007581,0.007916,0.007642,0.007973,0.007625,0.007944,0.007582,0.007797,0.007553,0.007027,0.007782,0.007953,0.007847,0.00718,0.007708,0.007721,0.00711,0.007713,0.007781,0.007697,0.007622,0.00779,0.007816,0.007159,0.007791,0.007731,0.007118,0.007849,0.007673,0.007708,0.007469,0.007289,0.007959,0.007562,0.007421,0.007325,0.00735,0.006845,0.007568,0.007416,0.007387,0.007782,0.008261,0.007348,0.007861,0.007591,0.007881,0.007916,0.007813,0.008645,0.007355,0.008063,0.00783,0.007826,0.007339,0.007762,0.007839,0.00736,0.007888,0.007632,0.007798,0.007762,0.007937,0.007294,0.007759,0.008441,0.007751,0.007357,0.007772,0.007974,0.007735,0.007331,0.007902,0.007677,0.007765,0.007923,0.007807,0.007888,0.007919,0.007912,0.007836,0.007843,0.007788,0.007787,0.007917,0.007839,0.00791,0.00765,0.007766,0.007437,0.007169,0.007777,0.007423,0.007541,0.008001,0.007779,0.007351,0.007895,0.007709,0.007907,0.007754,0.014114,0.014457,0.01495,0.014737,0.015756,0.015577,0.015972,0.01784,0.014031,0.015629
