TimeStamp,GraphName,NumVertices,NumEdges,Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-09_114534,gnutella30_bi,73364,176656,ppf2_KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0.05324,0.03709,0.033211,0.028592,0.026321,0.02059,0.021493,0.018609,0.018966,0.017474,0.016942,0.015235,0.014101,0.013016,0.012261,0.012546,0.015103,0.011349,0.011073,0.010913,0.013282,0.010182,0.00981,0.009442,0.011267,0.009113,0.009271,0.009637,0.008553,0.010292,0.00936,0.009051,0.008121,0.009513,0.007915,0.007924,0.007758,0.009422,0.008017,0.008347,0.007486,0.009787,0.009001,0.007448,0.007402,0.008363,0.008332,0.007754,0.007782,0.008326,0.009156,0.008066,0.006948,0.008995,0.007868,0.008045,0.007159,0.007271,0.007663,0.007701,0.007431,0.007076,0.007836,0.0079,0.008428,0.007253,0.008412,0.007981,0.008004,0.007072,0.00794,0.008192,0.007115,0.007169,0.008268,0.008181,0.008231,0.00735,0.008192,0.00681,0.006961,0.007769,0.007698,0.007788,0.007669,0.007576,0.006814,0.007662,0.007681,0.007883,0.007547,0.00751,0.007407,0.007628,0.007402,0.007656,0.007693,0.007479,0.00745,0.007514,0.00711,0.007431,0.006821,0.007609,0.007694,0.006681,0.0067,0.006927,0.007367,0.006695,0.007392,0.007396,0.006907,0.006738,0.006651,0.006684,0.007618,0.006757,0.006613,0.0067,0.007294,0.007158,0.007108,0.007105,0.007786,0.007038,0.007023,0.007039,0.007826,0.007616,0.007083,0.007052,0.007082,0.007541,0.007037,0.007113,0.00713,0.007796,0.007063,0.007205,0.00709,0.007646,0.007083,0.007261,0.00713,0.008026,0.007679,0.00731,0.007263,0.007927,0.007756,0.008032,0.007326,0.007727,0.007783,0.007703,0.0073,0.008001,0.007871,0.007944,0.007276,0.007217,0.007821,0.00785,0.007379,0.007606,0.007907,0.007871,0.007835,0.007234,0.007724,0.007849,0.007653,0.007705,0.008754,0.008356,0.007707,0.007291,0.007272,0.00727,0.007499,0.007647,0.008124,0.008158,0.008261,0.008126,0.007813,0.008218,0.008188,0.008366,0.007789,0.008412,0.008293,0.008412,0.008409,0.007843,0.008305,0.008221,0.007823,0.00788,0.007837,0.007848,0.007787,0.007898,0.007855,0.007847,0.007918,0.007856,0.007882,0.007933,0.00812,0.007967,0.00796,0.007892,0.007922,0.008468,0.008562,0.008467,0.008017,0.007997,0.008198,0.008027,0.008397,0.008068,0.00846,0.008314,0.008061,0.008264,0.007958,0.008088,0.00821,0.008043,0.008511,0.008726,0.0083,0.00814,0.008168,0.008297,0.008189,0.008139,0.018222,0.015921,0.01664,0.015869,0.013711,0.017019,0.016597,0.01636,0.016318,0.017215
0.051453,0.03746,0.033395,0.033046,0.028592,0.02563,0.021905,0.018634,0.017784,0.017124,0.015812,0.014918,0.013416,0.01256,0.012052,0.011739,0.014355,0.01121,0.010593,0.010536,0.012266,0.009776,0.009599,0.009208,0.01097,0.008722,0.009272,0.009674,0.009539,0.010238,0.008153,0.007796,0.009314,0.009418,0.007775,0.007655,0.007465,0.008518,0.007689,0.007251,0.007551,0.009209,0.00869,0.007457,0.006955,0.008043,0.007808,0.007109,0.007198,0.007793,0.007603,0.007882,0.007191,0.007766,0.007871,0.008161,0.006637,0.006479,0.00774,0.008171,0.006477,0.006589,0.008053,0.007304,0.007693,0.007134,0.008066,0.00769,0.00795,0.006773,0.007675,0.007752,0.007677,0.006881,0.007678,0.007766,0.007714,0.00664,0.007866,0.007211,0.007238,0.007093,0.007375,0.0072,0.007124,0.007284,0.006325,0.006872,0.007032,0.006221,0.007213,0.006292,0.006924,0.006336,0.006863,0.006911,0.006957,0.006379,0.007126,0.006275,0.006371,0.006134,0.006229,0.006981,0.006233,0.00624,0.006138,0.00605,0.007005,0.006895,0.006114,0.006688,0.007001,0.006073,0.006157,0.0061,0.006665,0.006246,0.006732,0.006032,0.007066,0.006427,0.006321,0.006951,0.007197,0.006269,0.006432,0.006568,0.006929,0.006945,0.006306,0.006395,0.006306,0.007009,0.006351,0.006245,0.006763,0.006818,0.006534,0.006313,0.006442,0.006804,0.006377,0.006444,0.006421,0.006935,0.007028,0.006278,0.006399,0.007234,0.006931,0.007005,0.00637,0.00699,0.006877,0.006908,0.006407,0.006932,0.007086,0.007064,0.006417,0.006439,0.006955,0.006979,0.006374,0.006429,0.006977,0.006919,0.006877,0.006441,0.006805,0.006786,0.006792,0.006819,0.007544,0.007807,0.006848,0.006348,0.006299,0.006393,0.007324,0.006514,0.006743,0.007192,0.007184,0.007175,0.006677,0.00726,0.007334,0.007237,0.006841,0.007491,0.007223,0.007227,0.0076,0.006847,0.007446,0.007262,0.007254,0.006962,0.007292,0.006799,0.006924,0.006828,0.006802,0.006763,0.006826,0.007136,0.006853,0.006845,0.006801,0.006921,0.006828,0.006783,0.007354,0.006917,0.007292,0.007224,0.006993,0.006862,0.006944,0.006907,0.006859,0.007041,0.007394,0.007249,0.006895,0.006838,0.006833,0.006877,0.006946,0.00682,0.007283,0.007511,0.007092,0.00692,0.00692,0.006751,0.007248,0.006936,0.019412,0.014922,0.014997,0.015842,0.012776,0.015051,0.015632,0.015107,0.015752,0.015675
0.052809,0.036465,0.040971,0.02676,0.022335,0.020157,0.021247,0.019439,0.018468,0.017523,0.016945,0.012894,0.013531,0.012517,0.012068,0.011994,0.014918,0.010979,0.010633,0.010211,0.012828,0.009749,0.009484,0.009356,0.010845,0.008985,0.008664,0.008499,0.008114,0.009972,0.008081,0.008288,0.007718,0.008969,0.007593,0.007383,0.007055,0.009095,0.007785,0.007689,0.007383,0.009396,0.008559,0.007093,0.007105,0.008131,0.007745,0.007438,0.007107,0.007812,0.008707,0.007768,0.006547,0.008006,0.008376,0.007471,0.00657,0.006873,0.007339,0.007288,0.006649,0.007045,0.007279,0.007546,0.008187,0.006948,0.007813,0.007712,0.007691,0.006529,0.007789,0.007652,0.007644,0.006694,0.007838,0.007773,0.007676,0.00667,0.00782,0.007301,0.007138,0.007179,0.007133,0.007191,0.006846,0.007441,0.006354,0.006991,0.007168,0.006187,0.006903,0.006976,0.006894,0.007144,0.007076,0.006843,0.007041,0.007048,0.006155,0.006374,0.006415,0.006994,0.006133,0.006913,0.006208,0.006119,0.006021,0.006205,0.006718,0.00699,0.006079,0.00724,0.006145,0.006069,0.006001,0.006023,0.006656,0.006181,0.006054,0.006918,0.006975,0.006578,0.006198,0.006405,0.006947,0.006361,0.006699,0.006521,0.007115,0.007136,0.006332,0.006492,0.006314,0.007019,0.006425,0.006453,0.006275,0.007024,0.006291,0.006421,0.006352,0.007024,0.006278,0.006447,0.006289,0.007151,0.006808,0.006549,0.006464,0.007061,0.007256,0.006936,0.006563,0.006968,0.006926,0.006992,0.006381,0.006369,0.007152,0.007171,0.006419,0.006447,0.00708,0.006961,0.006621,0.006447,0.006998,0.006982,0.006912,0.006313,0.006874,0.006807,0.006798,0.006896,0.008105,0.008032,0.006979,0.006347,0.006272,0.006259,0.007208,0.006806,0.007204,0.007374,0.007313,0.007189,0.006877,0.007267,0.007196,0.007218,0.006761,0.007327,0.007381,0.00726,0.007221,0.006819,0.007408,0.007236,0.007274,0.007247,0.007207,0.006879,0.006767,0.006859,0.006855,0.006803,0.006827,0.006872,0.006851,0.006776,0.006957,0.006763,0.00699,0.006849,0.006871,0.00685,0.007375,0.00727,0.006935,0.007098,0.006843,0.006851,0.006863,0.006845,0.00736,0.007214,0.007414,0.006892,0.006791,0.006903,0.006864,0.007036,0.007361,0.007466,0.007174,0.006913,0.006922,0.006783,0.006935,0.007198,0.016509,0.014851,0.014708,0.014832,0.012108,0.015385,0.01575,0.014653,0.015381,0.016194
0.051588,0.036715,0.036325,0.034933,0.025713,0.025691,0.022794,0.020077,0.017149,0.017012,0.016171,0.015209,0.014444,0.012806,0.012063,0.011895,0.014228,0.011154,0.010851,0.010366,0.012387,0.009527,0.009278,0.009173,0.010987,0.008964,0.00883,0.008622,0.009655,0.009382,0.007769,0.007916,0.007643,0.00911,0.007526,0.007341,0.007644,0.008523,0.007386,0.007105,0.007346,0.009404,0.008539,0.006908,0.007067,0.008067,0.007843,0.007108,0.007325,0.008649,0.007737,0.00759,0.007136,0.007838,0.007602,0.007731,0.00689,0.006791,0.007321,0.007984,0.006469,0.006555,0.007499,0.008188,0.007298,0.006873,0.008186,0.007604,0.007586,0.006704,0.007565,0.00775,0.006738,0.006683,0.007769,0.007713,0.007864,0.006622,0.007733,0.007072,0.006422,0.007302,0.007094,0.007299,0.007219,0.007119,0.006272,0.007026,0.007149,0.007238,0.007082,0.006996,0.007165,0.006195,0.00695,0.006913,0.007074,0.006945,0.006298,0.006124,0.006231,0.006843,0.006873,0.00677,0.006136,0.006072,0.006197,0.006788,0.006925,0.006844,0.006314,0.006653,0.006336,0.006022,0.00617,0.006073,0.006704,0.005986,0.00662,0.006008,0.007017,0.006375,0.006344,0.006361,0.007013,0.006304,0.006397,0.006404,0.007116,0.006953,0.006372,0.006306,0.006509,0.006889,0.006482,0.006342,0.006347,0.006922,0.006393,0.006345,0.006418,0.006767,0.006529,0.006456,0.006345,0.006985,0.006962,0.006291,0.006742,0.006979,0.007081,0.00706,0.006578,0.006894,0.006844,0.007022,0.006418,0.006338,0.007139,0.006991,0.006417,0.00634,0.006916,0.007241,0.006412,0.006439,0.007106,0.006961,0.006917,0.006372,0.00692,0.006903,0.00675,0.007014,0.00681,0.007181,0.006959,0.006303,0.006363,0.006287,0.006717,0.007203,0.007208,0.007218,0.007138,0.007236,0.00676,0.00722,0.007193,0.007258,0.006715,0.00743,0.007361,0.007603,0.007331,0.006829,0.007593,0.007243,0.007194,0.006773,0.006748,0.006856,0.006824,0.006744,0.006804,0.006837,0.006775,0.006914,0.007148,0.006787,0.006848,0.006781,0.00687,0.006854,0.006843,0.006894,0.007336,0.007398,0.007138,0.006785,0.006912,0.006819,0.007304,0.007326,0.007426,0.007122,0.006928,0.006902,0.006864,0.006933,0.006949,0.006768,0.007356,0.007523,0.007153,0.00724,0.006945,0.006814,0.007463,0.006905,0.014001,0.014574,0.014338,0.015024,0.012792,0.014335,0.01485,0.014494,0.015453,0.015365
0.052797,0.037156,0.033168,0.033254,0.028906,0.020579,0.021201,0.01813,0.018757,0.01722,0.016417,0.014975,0.013672,0.01261,0.012011,0.012022,0.014566,0.010979,0.010717,0.010325,0.01239,0.0098,0.009275,0.009137,0.010728,0.008737,0.008784,0.008133,0.008419,0.009817,0.007967,0.007778,0.007811,0.009065,0.007435,0.007597,0.007633,0.008862,0.007796,0.00779,0.007612,0.009158,0.00844,0.006941,0.007223,0.008042,0.007753,0.0072,0.00726,0.00826,0.008007,0.008652,0.006606,0.007411,0.007129,0.007436,0.006363,0.006589,0.007998,0.006603,0.006511,0.007146,0.007391,0.007558,0.007287,0.006919,0.008079,0.007636,0.007534,0.006597,0.007499,0.007958,0.00663,0.006896,0.007673,0.007754,0.007597,0.006655,0.007761,0.007358,0.006484,0.007026,0.007175,0.007245,0.007184,0.007188,0.006298,0.007215,0.00693,0.006472,0.006886,0.007112,0.007095,0.006567,0.006174,0.007205,0.006828,0.006875,0.006918,0.006219,0.006225,0.007132,0.00695,0.006955,0.006061,0.006321,0.006364,0.006269,0.006891,0.006693,0.006098,0.006816,0.006319,0.006095,0.006137,0.006048,0.006801,0.006075,0.006051,0.006956,0.006958,0.007177,0.006308,0.006336,0.007042,0.006329,0.006505,0.006349,0.007179,0.006857,0.006268,0.006307,0.006449,0.006811,0.006306,0.006385,0.00631,0.007149,0.006384,0.00642,0.006525,0.006945,0.006269,0.006568,0.006246,0.007039,0.006812,0.00644,0.006648,0.007017,0.006926,0.0071,0.006337,0.006992,0.006967,0.007165,0.006418,0.00694,0.006999,0.007022,0.006549,0.006411,0.007284,0.007012,0.006394,0.006608,0.006991,0.006921,0.006928,0.006474,0.006944,0.006801,0.006937,0.006791,0.006745,0.007974,0.006958,0.006369,0.006328,0.006365,0.006739,0.006718,0.007194,0.007156,0.0072,0.007268,0.006759,0.007266,0.007158,0.00726,0.006826,0.007318,0.007283,0.007291,0.007451,0.006833,0.007202,0.007204,0.007225,0.006929,0.006816,0.006803,0.006807,0.006785,0.00675,0.006815,0.006849,0.006808,0.006806,0.006867,0.006858,0.006837,0.007005,0.006782,0.006848,0.006815,0.007363,0.007333,0.006831,0.006825,0.006894,0.006895,0.006827,0.006989,0.007298,0.007489,0.007458,0.007028,0.006809,0.00701,0.007051,0.006807,0.007354,0.007511,0.007113,0.006846,0.007264,0.006937,0.00747,0.00694,0.011628,0.014615,0.015134,0.014742,0.01242,0.014345,0.015615,0.015784,0.015364,0.015411
0.051711,0.036675,0.045281,0.028007,0.022782,0.02545,0.022103,0.018504,0.018855,0.017145,0.01586,0.013194,0.013388,0.01268,0.011967,0.01207,0.014181,0.010905,0.010696,0.010522,0.012458,0.009633,0.009537,0.009164,0.011011,0.008834,0.009167,0.008405,0.009412,0.011582,0.008397,0.008342,0.007931,0.008982,0.007807,0.007734,0.00756,0.008384,0.007277,0.007102,0.007149,0.009189,0.008621,0.007181,0.006997,0.008128,0.007746,0.007241,0.007201,0.008811,0.007998,0.007775,0.006938,0.008415,0.007623,0.007648,0.006889,0.006437,0.007298,0.007428,0.006964,0.006456,0.007488,0.008032,0.006586,0.007202,0.008078,0.007509,0.007803,0.006533,0.007598,0.007649,0.0077,0.006638,0.007855,0.007707,0.007796,0.006669,0.00764,0.007481,0.007138,0.007461,0.007142,0.007017,0.007269,0.007089,0.006334,0.006362,0.007353,0.007021,0.007033,0.00716,0.006929,0.006236,0.006242,0.006954,0.006174,0.006937,0.006995,0.006064,0.006304,0.006855,0.006885,0.00689,0.006288,0.006116,0.0063,0.006083,0.006929,0.006833,0.006873,0.006768,0.006056,0.006134,0.006065,0.006972,0.006669,0.0061,0.006712,0.006134,0.007141,0.006251,0.006375,0.006355,0.007135,0.006286,0.006428,0.006299,0.006954,0.00695,0.006347,0.006343,0.006264,0.007014,0.006484,0.00632,0.0065,0.006836,0.006484,0.0063,0.006649,0.006693,0.006512,0.006343,0.006283,0.006894,0.007172,0.006246,0.006503,0.007128,0.006944,0.00714,0.00636,0.006888,0.006976,0.006999,0.00646,0.007183,0.006888,0.006958,0.006425,0.006741,0.006991,0.006958,0.006339,0.006449,0.007101,0.006854,0.006946,0.006273,0.006794,0.006754,0.00678,0.007047,0.007902,0.006821,0.006779,0.006498,0.006311,0.006337,0.006761,0.007206,0.006708,0.007232,0.007168,0.007162,0.006718,0.007301,0.007218,0.007208,0.006785,0.007293,0.007271,0.007263,0.007313,0.006839,0.00728,0.007195,0.007234,0.006836,0.007329,0.006784,0.00679,0.006804,0.006788,0.00688,0.006836,0.006766,0.006847,0.007159,0.006794,0.006832,0.00681,0.006811,0.006818,0.007343,0.007274,0.007413,0.006859,0.007073,0.006891,0.006908,0.006857,0.00699,0.007283,0.007183,0.007253,0.006838,0.006897,0.006874,0.007129,0.006853,0.007653,0.007465,0.007075,0.006941,0.006972,0.006726,0.007277,0.006926,0.012391,0.015062,0.015583,0.014808,0.012622,0.01422,0.014819,0.015289,0.015091,0.015065
0.053203,0.036402,0.032815,0.033531,0.025476,0.020352,0.021452,0.019425,0.017551,0.017534,0.016761,0.015451,0.01339,0.012502,0.012142,0.01198,0.014263,0.010953,0.010749,0.010389,0.012354,0.009842,0.009583,0.009252,0.011382,0.009151,0.008602,0.008646,0.008662,0.009925,0.008747,0.008192,0.007698,0.008999,0.007586,0.007402,0.007323,0.008808,0.007714,0.007829,0.007075,0.009374,0.008746,0.006982,0.006841,0.008084,0.0079,0.00713,0.007187,0.007858,0.007622,0.00879,0.006635,0.007436,0.007651,0.00821,0.00653,0.006458,0.008249,0.006438,0.006744,0.006748,0.007946,0.007348,0.007547,0.006946,0.007856,0.00754,0.007629,0.006578,0.007646,0.00772,0.007744,0.006755,0.007707,0.007637,0.007747,0.00667,0.007598,0.007162,0.006364,0.006336,0.007201,0.007087,0.007119,0.00702,0.006251,0.007258,0.006962,0.007534,0.007348,0.00706,0.006979,0.006271,0.00686,0.006947,0.006828,0.006937,0.006919,0.006348,0.006335,0.006841,0.006132,0.007095,0.006141,0.006111,0.006266,0.006163,0.006236,0.006825,0.006072,0.006838,0.006002,0.006095,0.006097,0.006274,0.006672,0.006158,0.006188,0.006039,0.006965,0.006366,0.006235,0.006633,0.0069,0.006357,0.006275,0.006624,0.006943,0.00697,0.006378,0.006324,0.006379,0.006884,0.006293,0.006413,0.006347,0.007024,0.006546,0.006428,0.006335,0.007075,0.006346,0.006552,0.006163,0.0071,0.006813,0.006424,0.006524,0.006992,0.00711,0.00697,0.006405,0.006855,0.006911,0.006941,0.006433,0.007112,0.006866,0.007003,0.006384,0.006367,0.00691,0.006961,0.006402,0.00643,0.007024,0.006886,0.006884,0.006295,0.00677,0.006839,0.006941,0.007408,0.007873,0.008071,0.006773,0.006344,0.006274,0.006291,0.006873,0.006735,0.00721,0.007304,0.007191,0.007232,0.006757,0.007255,0.007286,0.007371,0.007046,0.007333,0.00723,0.007215,0.007259,0.006952,0.007267,0.007248,0.007209,0.006779,0.006936,0.006773,0.006742,0.007077,0.006824,0.006843,0.00682,0.006827,0.006795,0.006788,0.006866,0.006772,0.006901,0.006834,0.006824,0.00746,0.007248,0.007259,0.006863,0.007158,0.007295,0.007096,0.006841,0.00685,0.007378,0.007254,0.007334,0.006861,0.006747,0.006913,0.006879,0.00693,0.00743,0.007517,0.007177,0.006954,0.006938,0.006795,0.00764,0.006901,0.014305,0.014847,0.01565,0.014661,0.012335,0.01475,0.015787,0.01503,0.016368,0.014936
0.051817,0.037498,0.033484,0.027119,0.028223,0.025496,0.022892,0.019896,0.018542,0.016938,0.015804,0.014967,0.014571,0.012453,0.01209,0.011731,0.014359,0.010871,0.010664,0.010462,0.012772,0.009998,0.009395,0.009117,0.010867,0.008816,0.008774,0.008891,0.008567,0.0096,0.008092,0.007741,0.008376,0.009423,0.007717,0.007757,0.008006,0.008626,0.007365,0.007244,0.007456,0.009265,0.008781,0.007101,0.006906,0.008082,0.00783,0.007122,0.007242,0.008093,0.008663,0.007828,0.006579,0.008394,0.00756,0.007484,0.006572,0.007104,0.007257,0.007355,0.006944,0.00649,0.007597,0.007286,0.007893,0.007001,0.007978,0.007665,0.007681,0.006567,0.007611,0.007893,0.007635,0.006914,0.007648,0.007652,0.007651,0.006614,0.007871,0.007376,0.00639,0.007176,0.007137,0.007087,0.007322,0.007437,0.006237,0.007003,0.007059,0.006847,0.006932,0.007189,0.006343,0.006324,0.006887,0.00708,0.006851,0.006179,0.006818,0.006162,0.006329,0.00705,0.006274,0.006893,0.006252,0.006173,0.006269,0.006115,0.006719,0.006775,0.00621,0.006707,0.006129,0.006023,0.006158,0.00603,0.006842,0.006209,0.006703,0.005977,0.006977,0.006427,0.0066,0.006353,0.0071,0.006394,0.006469,0.006332,0.007096,0.006949,0.006366,0.006368,0.006366,0.006998,0.006261,0.006375,0.006405,0.006988,0.006871,0.006308,0.006441,0.006878,0.006417,0.00635,0.006315,0.007096,0.007161,0.006225,0.006448,0.007052,0.006923,0.006995,0.006321,0.006974,0.007105,0.006966,0.006492,0.006884,0.007111,0.007025,0.006645,0.006375,0.007133,0.00698,0.006433,0.006522,0.006995,0.007,0.006923,0.006321,0.006738,0.006847,0.00685,0.008073,0.007276,0.007521,0.006854,0.006327,0.006384,0.006334,0.006704,0.006749,0.007348,0.007345,0.007286,0.007428,0.006892,0.007271,0.007164,0.007201,0.00674,0.007369,0.007613,0.007238,0.007259,0.007213,0.007265,0.007251,0.007283,0.006855,0.007253,0.006769,0.006816,0.006773,0.006809,0.006834,0.006774,0.006827,0.006834,0.006798,0.007242,0.00682,0.006817,0.006841,0.006863,0.006791,0.007357,0.007295,0.006857,0.006656,0.007226,0.006863,0.006895,0.00736,0.00733,0.007171,0.007342,0.006914,0.006881,0.006909,0.006915,0.00677,0.007296,0.007499,0.007406,0.007201,0.006992,0.006815,0.007427,0.006894,0.012098,0.014659,0.014134,0.014154,0.013237,0.017397,0.015131,0.015449,0.014736,0.015458
0.0529,0.036405,0.04117,0.03442,0.0227,0.020695,0.02117,0.018653,0.017531,0.017203,0.016676,0.012852,0.013812,0.012748,0.012038,0.012481,0.014391,0.011275,0.010929,0.010411,0.012352,0.009845,0.009323,0.009422,0.010705,0.009002,0.008719,0.00876,0.008483,0.011411,0.007757,0.008276,0.007824,0.009308,0.007718,0.00746,0.007498,0.008608,0.007858,0.007794,0.007153,0.009614,0.008632,0.006886,0.006966,0.00813,0.007836,0.007101,0.007278,0.007855,0.007808,0.008201,0.007133,0.007523,0.007422,0.008099,0.006528,0.006393,0.007547,0.008019,0.006673,0.006574,0.008146,0.006645,0.007528,0.006988,0.007778,0.007653,0.007743,0.006621,0.007636,0.007598,0.006652,0.006638,0.007908,0.007629,0.007888,0.006645,0.007586,0.006434,0.007545,0.007308,0.007145,0.007311,0.007079,0.00717,0.006242,0.007188,0.007323,0.00708,0.007029,0.006331,0.006101,0.006141,0.006877,0.007354,0.007015,0.006243,0.006962,0.006359,0.006218,0.007054,0.006874,0.006822,0.006202,0.006389,0.006165,0.006184,0.006723,0.006779,0.006828,0.006157,0.006113,0.006096,0.006198,0.006048,0.006656,0.006681,0.006031,0.006066,0.006952,0.006356,0.006207,0.006333,0.006942,0.006361,0.006322,0.006421,0.006941,0.006916,0.006485,0.006926,0.007009,0.006869,0.006392,0.00636,0.006309,0.007176,0.006332,0.0064,0.006427,0.006897,0.006244,0.006474,0.006455,0.007061,0.006934,0.00636,0.006463,0.006931,0.006952,0.006987,0.006363,0.007062,0.007054,0.00707,0.006414,0.007029,0.007012,0.007151,0.006523,0.006432,0.00683,0.006905,0.006407,0.0066,0.007016,0.006986,0.006942,0.00636,0.006797,0.006777,0.006754,0.007043,0.00796,0.007616,0.006879,0.006308,0.006393,0.006313,0.006896,0.006755,0.007254,0.007337,0.007155,0.006786,0.006784,0.007242,0.007243,0.007312,0.00689,0.007654,0.007418,0.00729,0.00728,0.00731,0.007363,0.007287,0.007382,0.006838,0.007294,0.006823,0.006807,0.006813,0.006765,0.006798,0.006819,0.006868,0.00678,0.006845,0.006821,0.006841,0.007049,0.006794,0.006824,0.007256,0.00729,0.007627,0.006773,0.00663,0.006893,0.006813,0.006673,0.007012,0.007537,0.007183,0.006897,0.006926,0.006837,0.006953,0.006969,0.006836,0.007331,0.007494,0.007144,0.006897,0.006934,0.006877,0.006928,0.006953,0.012133,0.013924,0.014823,0.014811,0.012289,0.01629,0.014567,0.016045,0.01633,0.014889
0.051827,0.03681,0.036229,0.033032,0.026269,0.025651,0.022001,0.018628,0.018555,0.016959,0.016219,0.015303,0.013438,0.012589,0.011844,0.012049,0.014803,0.010979,0.010585,0.010338,0.012393,0.009718,0.009429,0.009524,0.011051,0.009092,0.008723,0.008012,0.008227,0.009692,0.008085,0.008144,0.007918,0.009031,0.007695,0.007463,0.007323,0.008728,0.007394,0.00742,0.007033,0.009341,0.008571,0.006943,0.006929,0.007968,0.007893,0.007097,0.007462,0.007758,0.008494,0.007723,0.006636,0.008108,0.00838,0.007695,0.006738,0.006981,0.007463,0.007277,0.00665,0.007018,0.007296,0.007537,0.007913,0.007012,0.007997,0.007549,0.007633,0.006523,0.007524,0.007714,0.006603,0.006646,0.007822,0.00769,0.007947,0.006648,0.007638,0.007115,0.007255,0.007124,0.007191,0.007161,0.007083,0.007022,0.006266,0.00692,0.00707,0.006152,0.007104,0.006296,0.006935,0.006136,0.006217,0.006907,0.006986,0.007167,0.007011,0.006134,0.006431,0.006214,0.006365,0.007006,0.006146,0.006295,0.006116,0.00612,0.006817,0.006735,0.006232,0.006625,0.006053,0.006169,0.00611,0.006162,0.00671,0.006248,0.006717,0.006128,0.007186,0.00652,0.006296,0.006664,0.007066,0.006207,0.006491,0.006402,0.007144,0.006948,0.006321,0.006519,0.006355,0.006917,0.006377,0.006436,0.006383,0.006826,0.006467,0.006338,0.006543,0.006718,0.006437,0.006542,0.0063,0.006807,0.007076,0.006252,0.006464,0.007048,0.007081,0.007039,0.006416,0.007161,0.007133,0.0069,0.006388,0.007075,0.006991,0.006957,0.006553,0.006484,0.006832,0.006989,0.006463,0.006434,0.006994,0.006885,0.006919,0.006275,0.006822,0.006894,0.006722,0.006793,0.006824,0.007935,0.006786,0.006402,0.006311,0.006474,0.006732,0.006798,0.007085,0.006752,0.00722,0.007199,0.006998,0.007353,0.007127,0.007218,0.007097,0.007291,0.007348,0.007318,0.007352,0.006852,0.007273,0.007208,0.007278,0.006856,0.007283,0.00679,0.006753,0.006809,0.006776,0.006795,0.006832,0.006778,0.006859,0.006816,0.006844,0.007164,0.0068,0.006769,0.006801,0.007271,0.007303,0.007344,0.006859,0.006709,0.006918,0.006984,0.007491,0.007168,0.007304,0.007216,0.006888,0.006871,0.006794,0.006863,0.007014,0.006791,0.007298,0.007514,0.007148,0.006923,0.007232,0.006723,0.007029,0.00693,0.011889,0.014275,0.014142,0.014585,0.012103,0.015503,0.016141,0.016276,0.014965,0.015056
