TimeStamp,GraphName,NumVertices,NumEdges,Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-09_114926,gnutella30_bi,73364,176656,ppf2_Greedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,NumThreads,Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0.118045,0.081281,0.063429,0.079878,0.057921,0.035768,0.039618,0.033174,0.031354,0.02375,0.029249,0.025898,0.023006,0.021021,0.02457,0.020098,0.018572,0.017718,0.01789,0.014004,0.013799,0.016116,0.0169,0.016769,0.01432,0.013997,0.014052,0.013606,0.015708,0.013322,0.014729,0.011951,0.01201,0.011882,0.011924,0.01148,0.011093,0.010607,0.011977,0.012062,0.011213,0.011035,0.010522,0.010935,0.010751,0.011221,0.010567,0.011222,0.010922,0.009851,0.010582,0.010428,0.011297,0.010478,0.009946,0.010347,0.010311,0.010836,0.009137,0.010821,0.010371,0.009738,0.008862,0.008934,0.00883,0.010982,0.009662,0.009124,0.009305,0.010334,0.009339,0.009277,0.009715,0.009346,0.008332,0.009415,0.009548,0.009297,0.009318,0.008637,0.00874,0.007747,0.008906,0.008839,0.008665,0.009008,0.008569,0.008439,0.008373,0.009307,0.008726,0.00878,0.008529,0.008687,0.00836,0.008347,0.008443,0.009224,0.009382,0.008724,0.008362,0.009123,0.009137,0.008488,0.008354,0.008468,0.008411,0.008364,0.008188,0.008589,0.00812,0.008401,0.00824,0.008609,0.00764,0.008223,0.008354,0.008433,0.008269,0.008105,0.008595,0.008648,0.008685,0.00868,0.008756,0.008511,0.008827,0.007891,0.0088,0.008962,0.008821,0.009618,0.008756,0.008871,0.008857,0.008688,0.008523,0.008619,0.009065,0.009474,0.007827,0.008645,0.008386,0.008876,0.008539,0.008889,0.008523,0.008178,0.008415,0.008668,0.008115,0.008509,0.008063,0.008499,0.008932,0.00858,0.00878,0.008654,0.008683,0.008005,0.008686,0.008622,0.007949,0.008718,0.008615,0.00805,0.008782,0.008639,0.008659,0.008157,0.008638,0.008403,0.008856,0.008236,0.008404,0.008372,0.008525,0.008589,0.008551,0.00846,0.008608,0.008825,0.008398,0.008925,0.008582,0.008929,0.009285,0.009349,0.008988,0.008432,0.008889,0.008884,0.008726,0.008954,0.00891,0.008939,0.009046,0.008899,0.008968,0.009124,0.008305,0.00889,0.008423,0.008976,0.009411,0.008983,0.008846,0.009081,0.008709,0.008995,0.009129,0.008558,0.008509,0.009075,0.009102,0.008947,0.008774,0.009182,0.008673,0.008995,0.008994,0.009074,0.008649,0.008563,0.009027,0.009632,0.009072,0.009096,0.00868,0.008635,0.009244,0.009023,0.009101,0.009588,0.009009,0.00928,0.009091,0.009064,0.00902,0.009118,0.019551,0.017805,0.018221,0.017715,0.016289,0.020112,0.016331,0.02968,0.018372,0.018783
0.11705,0.080857,0.110286,0.062627,0.03876,0.04763,0.038024,0.03347,0.032607,0.029545,0.032628,0.026695,0.021963,0.021023,0.020521,0.019713,0.017863,0.017578,0.017277,0.013587,0.013693,0.015524,0.017262,0.014558,0.014112,0.013749,0.013197,0.01576,0.01171,0.013865,0.011573,0.012345,0.014344,0.011402,0.011214,0.009743,0.010858,0.011009,0.010709,0.010203,0.011016,0.011685,0.009098,0.00979,0.010059,0.009314,0.009868,0.010051,0.010887,0.009765,0.009524,0.009163,0.008878,0.009395,0.010121,0.013076,0.010218,0.008791,0.009282,0.008503,0.009287,0.009757,0.009375,0.008285,0.008425,0.010527,0.0092,0.007801,0.008688,0.009846,0.008864,0.008855,0.008804,0.007807,0.008771,0.007761,0.008856,0.008934,0.007771,0.008404,0.008479,0.008127,0.008203,0.007997,0.00815,0.008168,0.008276,0.007967,0.008142,0.008815,0.00786,0.007964,0.008016,0.007891,0.008867,0.007786,0.00825,0.008103,0.007915,0.007719,0.007618,0.007928,0.008564,0.008694,0.007816,0.00784,0.007753,0.007839,0.007754,0.007812,0.007661,0.007757,0.006977,0.008585,0.007711,0.00765,0.006958,0.007643,0.007539,0.007551,0.007997,0.00805,0.007758,0.008627,0.008579,0.007886,0.007849,0.007995,0.007742,0.008015,0.00817,0.008033,0.007226,0.007871,0.007876,0.007637,0.008073,0.007822,0.007888,0.007732,0.007087,0.007653,0.007271,0.007015,0.007872,0.008266,0.008509,0.007682,0.007296,0.008038,0.007762,0.007328,0.007305,0.007935,0.007913,0.008083,0.007789,0.008525,0.007797,0.007275,0.00777,0.007757,0.007028,0.007773,0.007714,0.007116,0.007759,0.008319,0.007972,0.007737,0.007484,0.007795,0.007484,0.007279,0.007571,0.007463,0.006941,0.007461,0.007436,0.007556,0.007778,0.007764,0.007949,0.008094,0.007653,0.007907,0.00779,0.007369,0.007905,0.007981,0.007908,0.008005,0.007895,0.007923,0.008009,0.007929,0.007566,0.008146,0.00782,0.007353,0.007586,0.00736,0.007899,0.007829,0.008378,0.007787,0.00742,0.008462,0.007904,0.00787,0.00783,0.007869,0.007913,0.007861,0.008059,0.007947,0.007771,0.008001,0.007823,0.007895,0.007985,0.007861,0.007374,0.007389,0.007713,0.007847,0.008094,0.007464,0.007539,0.007446,0.007402,0.007383,0.007758,0.008009,0.007916,0.007848,0.007932,0.007868,0.007822,0.007606,0.025865,0.01763,0.017502,0.01684,0.015704,0.018804,0.017136,0.017528,0.017354,0.016776
0.117121,0.080916,0.105062,0.083418,0.057408,0.035441,0.038805,0.035531,0.029981,0.029691,0.029156,0.031136,0.02903,0.021277,0.024484,0.019521,0.018427,0.014112,0.01767,0.016861,0.016121,0.014967,0.017146,0.016198,0.014217,0.014095,0.013014,0.012481,0.012445,0.012098,0.011889,0.013638,0.01137,0.011199,0.010616,0.011054,0.011734,0.010113,0.010926,0.011846,0.010524,0.012059,0.010287,0.010324,0.011777,0.010295,0.009505,0.012274,0.010878,0.011979,0.011668,0.00966,0.009636,0.009353,0.00839,0.00941,0.011123,0.009406,0.009584,0.008356,0.009513,0.008576,0.008743,0.009518,0.009221,0.009235,0.009113,0.007955,0.008697,0.009626,0.008843,0.008864,0.007947,0.00894,0.007894,0.007911,0.008862,0.008962,0.009848,0.008154,0.007368,0.007257,0.00812,0.007569,0.008833,0.008057,0.007947,0.007902,0.008012,0.008923,0.007143,0.008074,0.007977,0.007892,0.00801,0.007847,0.00789,0.008038,0.00782,0.007798,0.008443,0.008572,0.007721,0.007846,0.008082,0.007766,0.007277,0.007129,0.007656,0.007936,0.007744,0.0077,0.007795,0.006879,0.007849,0.007144,0.007495,0.007944,0.007605,0.007769,0.007981,0.007795,0.008849,0.007848,0.007986,0.007883,0.007886,0.007129,0.007936,0.008108,0.008014,0.008754,0.007977,0.007926,0.008043,0.007254,0.007817,0.008458,0.008292,0.0079,0.006873,0.007859,0.007827,0.007854,0.007148,0.007895,0.007806,0.008035,0.007239,0.007814,0.007716,0.007723,0.008038,0.007724,0.007822,0.007745,0.007813,0.008078,0.007822,0.007442,0.007752,0.007841,0.007761,0.008001,0.007774,0.007124,0.008047,0.007918,0.007757,0.007679,0.007395,0.00762,0.00761,0.007563,0.007701,0.007478,0.00695,0.007461,0.007377,0.007416,0.007922,0.007862,0.007831,0.007865,0.00769,0.007905,0.007979,0.007423,0.00786,0.008118,0.007853,0.007997,0.007829,0.008122,0.008082,0.007916,0.007378,0.007901,0.007822,0.007359,0.007211,0.007945,0.007853,0.007905,0.007924,0.00793,0.008348,0.008304,0.007774,0.007845,0.007908,0.007831,0.007862,0.007838,0.007847,0.00799,0.007705,0.007904,0.007423,0.007776,0.008008,0.007904,0.007797,0.00783,0.007726,0.007822,0.007928,0.007356,0.007534,0.007436,0.007383,0.007435,0.007707,0.008071,0.007857,0.007374,0.00791,0.007821,0.007819,0.00789,0.014218,0.018336,0.016847,0.014452,0.015156,0.019854,0.018451,0.019893,0.018672,0.017995
0.118125,0.080371,0.080501,0.079359,0.057296,0.04715,0.037882,0.032358,0.032816,0.029742,0.032468,0.025375,0.02815,0.02172,0.023025,0.019717,0.018489,0.017955,0.017726,0.013769,0.01546,0.015764,0.017137,0.016385,0.013785,0.011923,0.013344,0.012275,0.012557,0.012294,0.013577,0.012876,0.011851,0.011538,0.011251,0.011203,0.010676,0.011027,0.010676,0.009886,0.011359,0.01226,0.009157,0.009866,0.010731,0.00926,0.009811,0.010658,0.0102,0.009815,0.010833,0.010155,0.009997,0.008411,0.008955,0.01009,0.010395,0.009535,0.011342,0.010098,0.008686,0.008604,0.008447,0.008396,0.008427,0.010479,0.009464,0.007891,0.008553,0.008724,0.008921,0.008729,0.009158,0.007802,0.008838,0.008837,0.00881,0.009009,0.009158,0.008188,0.007224,0.00798,0.008198,0.008183,0.008203,0.007984,0.008206,0.008045,0.008002,0.008664,0.007892,0.007945,0.007934,0.008232,0.008006,0.008927,0.007809,0.007961,0.008003,0.008037,0.008417,0.008595,0.007654,0.007842,0.007811,0.008016,0.007902,0.007693,0.007628,0.007642,0.007952,0.007805,0.007632,0.007869,0.007674,0.007721,0.007787,0.007684,0.007495,0.007635,0.007852,0.007909,0.008543,0.007944,0.008651,0.007956,0.007854,0.007397,0.007647,0.007972,0.007955,0.008749,0.007322,0.007985,0.008059,0.007697,0.008146,0.00776,0.008009,0.007627,0.007032,0.007681,0.00801,0.007193,0.007285,0.007605,0.007968,0.007718,0.00718,0.007914,0.007738,0.007734,0.007183,0.007762,0.007834,0.007792,0.007816,0.00788,0.007936,0.007723,0.007855,0.007791,0.007824,0.008082,0.007784,0.007302,0.007803,0.007706,0.007761,0.007626,0.007442,0.007423,0.008141,0.007533,0.007557,0.007152,0.00714,0.007417,0.007353,0.007404,0.007856,0.007313,0.007929,0.007852,0.008159,0.008604,0.008241,0.007835,0.007949,0.007831,0.007847,0.007958,0.007818,0.007931,0.007903,0.007907,0.007414,0.008071,0.007859,0.007313,0.007692,0.007495,0.007829,0.007914,0.008397,0.007874,0.00786,0.008578,0.007686,0.007838,0.007907,0.007917,0.007868,0.007848,0.007888,0.007807,0.007692,0.007949,0.007371,0.007789,0.007946,0.007918,0.007433,0.007395,0.00771,0.007891,0.007894,0.007346,0.007649,0.007862,0.00782,0.007404,0.007809,0.008175,0.007814,0.007897,0.007862,0.007867,0.007774,0.007828,0.014542,0.01794,0.016721,0.014326,0.014925,0.019688,0.016,0.015222,0.015797,0.018126
0.117082,0.080706,0.098768,0.066285,0.043097,0.035553,0.039217,0.032733,0.033262,0.029898,0.02886,0.026796,0.02292,0.021444,0.023887,0.019352,0.018306,0.018119,0.017394,0.013497,0.018726,0.015383,0.017474,0.014582,0.016141,0.013212,0.013311,0.01255,0.012331,0.013753,0.013972,0.011733,0.013055,0.010602,0.009309,0.010528,0.012508,0.01083,0.011391,0.011875,0.010614,0.011302,0.010465,0.010513,0.011541,0.009972,0.009472,0.010515,0.009621,0.008897,0.009582,0.009959,0.009506,0.009797,0.010925,0.009286,0.010213,0.008632,0.009696,0.00889,0.010689,0.009759,0.00888,0.008544,0.008657,0.009298,0.009143,0.007753,0.008586,0.009757,0.008791,0.007909,0.009132,0.008973,0.008897,0.009081,0.008802,0.008863,0.007776,0.008446,0.008234,0.008522,0.008135,0.008008,0.008052,0.008255,0.008064,0.008607,0.008323,0.008952,0.008122,0.007898,0.0077,0.00786,0.00783,0.008849,0.007764,0.008557,0.008543,0.007716,0.008679,0.008643,0.007824,0.007718,0.007794,0.007708,0.007592,0.008002,0.00772,0.007872,0.007791,0.007951,0.007606,0.007568,0.00884,0.007614,0.006914,0.007857,0.008315,0.007581,0.00803,0.00792,0.00808,0.007932,0.007981,0.007789,0.008901,0.007164,0.008661,0.008145,0.008043,0.007279,0.007092,0.007933,0.008206,0.007928,0.007653,0.008454,0.007825,0.007862,0.007019,0.007932,0.00769,0.007976,0.007615,0.007904,0.00778,0.007173,0.007211,0.007799,0.007867,0.007737,0.007215,0.007759,0.007859,0.007788,0.007757,0.007824,0.008016,0.007744,0.007863,0.007719,0.007908,0.007741,0.007183,0.007152,0.00784,0.007852,0.007902,0.007451,0.00744,0.007523,0.007461,0.007486,0.007506,0.007453,0.006936,0.007117,0.007457,0.007401,0.007938,0.007796,0.007836,0.007852,0.007713,0.007937,0.008303,0.008075,0.007882,0.00789,0.007878,0.007927,0.00751,0.007837,0.007896,0.007888,0.007499,0.007981,0.007897,0.007269,0.007635,0.007877,0.008113,0.007974,0.007885,0.007846,0.007874,0.007952,0.007718,0.007897,0.007825,0.007821,0.007944,0.007984,0.008332,0.007405,0.007879,0.00789,0.007365,0.007796,0.007794,0.008184,0.00743,0.007386,0.007751,0.007996,0.00788,0.007377,0.00748,0.007443,0.007391,0.007407,0.007777,0.007773,0.00786,0.007401,0.0081,0.007833,0.007765,0.007885,0.014443,0.017654,0.017261,0.016584,0.017506,0.017755,0.015323,0.01832,0.0159,0.019616
0.117104,0.080964,0.087505,0.079688,0.047051,0.047129,0.03763,0.033736,0.030996,0.029715,0.033062,0.031235,0.022452,0.021419,0.024311,0.019869,0.018518,0.018,0.01768,0.013768,0.013427,0.015555,0.017437,0.014542,0.014136,0.013787,0.01276,0.012827,0.013302,0.013063,0.013503,0.013681,0.014486,0.011182,0.010119,0.011175,0.010216,0.010787,0.011048,0.010497,0.010253,0.012058,0.010233,0.010091,0.010959,0.009505,0.009894,0.010826,0.01017,0.011426,0.009625,0.009032,0.009127,0.00953,0.008741,0.009891,0.010147,0.00867,0.010191,0.008276,0.008688,0.008455,0.009475,0.009567,0.008309,0.008284,0.009415,0.009091,0.008674,0.009806,0.008715,0.007787,0.009944,0.008805,0.009015,0.008264,0.008978,0.008793,0.009791,0.008048,0.008215,0.008376,0.008365,0.008978,0.008556,0.007995,0.008111,0.00778,0.008046,0.009098,0.008126,0.008017,0.007181,0.00713,0.00781,0.007839,0.007896,0.00777,0.00704,0.00765,0.007708,0.007929,0.008396,0.007934,0.007713,0.007738,0.007779,0.007957,0.007496,0.007741,0.00762,0.007674,0.007761,0.007078,0.007677,0.007662,0.007017,0.007709,0.008362,0.007824,0.00832,0.008532,0.007776,0.008024,0.007996,0.008013,0.008086,0.00744,0.007896,0.007923,0.008044,0.00807,0.008044,0.007917,0.007988,0.007673,0.007917,0.007643,0.007842,0.007684,0.007112,0.007692,0.007938,0.00706,0.007214,0.008207,0.007847,0.007708,0.007354,0.007769,0.007737,0.007764,0.007215,0.007856,0.007802,0.007794,0.007777,0.007902,0.007928,0.007829,0.007831,0.007805,0.007774,0.007166,0.007842,0.007127,0.007791,0.007749,0.007734,0.007649,0.007403,0.00771,0.007535,0.007579,0.007444,0.007534,0.006928,0.007384,0.007388,0.007441,0.00785,0.008413,0.008002,0.007376,0.007603,0.00801,0.007904,0.007938,0.008558,0.008051,0.007863,0.007832,0.007818,0.007885,0.007915,0.007936,0.007454,0.007782,0.007893,0.007313,0.007958,0.007896,0.007989,0.008217,0.007799,0.007984,0.007791,0.008294,0.007859,0.007865,0.007878,0.008107,0.00788,0.007878,0.007948,0.007852,0.007706,0.007974,0.007412,0.007856,0.007795,0.007822,0.007685,0.00752,0.007221,0.007946,0.007903,0.007804,0.007479,0.007419,0.007391,0.007429,0.007863,0.008248,0.007741,0.007893,0.007409,0.007798,0.007738,0.007454,0.014295,0.01681,0.017292,0.016747,0.017739,0.014702,0.017848,0.018056,0.015861,0.018601
0.117244,0.080863,0.080022,0.062349,0.057325,0.035597,0.039429,0.035885,0.032341,0.029486,0.028956,0.025319,0.029214,0.021374,0.024213,0.019572,0.018634,0.017732,0.017656,0.013836,0.018562,0.015523,0.01723,0.016493,0.016198,0.013854,0.013263,0.014608,0.013025,0.01227,0.013916,0.012098,0.013268,0.011083,0.011002,0.010967,0.013527,0.010669,0.011939,0.011826,0.011349,0.012037,0.010527,0.010188,0.010222,0.010134,0.009808,0.01058,0.011038,0.009477,0.013469,0.010896,0.009583,0.008766,0.009869,0.010189,0.010311,0.01029,0.009952,0.008027,0.009466,0.009594,0.008211,0.00838,0.009445,0.010418,0.00926,0.007867,0.008634,0.009865,0.008757,0.008867,0.008802,0.007765,0.008814,0.007955,0.008983,0.00895,0.008852,0.008466,0.007552,0.008193,0.007107,0.008244,0.008932,0.008063,0.007891,0.009117,0.008107,0.007967,0.007046,0.007989,0.007225,0.008051,0.007997,0.008859,0.00779,0.007803,0.007683,0.007654,0.008397,0.008616,0.007789,0.007039,0.007806,0.007762,0.007631,0.007078,0.007818,0.007677,0.007947,0.007815,0.008038,0.00765,0.007618,0.007605,0.00698,0.007627,0.008299,0.007453,0.00813,0.007876,0.007952,0.007825,0.007923,0.008141,0.007955,0.007163,0.007795,0.007949,0.00798,0.008103,0.007399,0.007947,0.007976,0.007272,0.007754,0.00846,0.008339,0.008639,0.00705,0.007876,0.007652,0.007829,0.007554,0.007981,0.007706,0.007188,0.007188,0.007897,0.007757,0.007787,0.007411,0.007696,0.007929,0.007868,0.007928,0.00777,0.007774,0.007723,0.008017,0.007786,0.007121,0.007728,0.00788,0.007143,0.008509,0.007702,0.007796,0.007117,0.007373,0.00743,0.007703,0.007436,0.007579,0.006954,0.007044,0.007397,0.007585,0.00752,0.007987,0.007982,0.007883,0.007867,0.007838,0.007895,0.007821,0.007758,0.007923,0.008067,0.007855,0.007809,0.007385,0.007849,0.007951,0.008054,0.008077,0.007857,0.007891,0.007822,0.007702,0.00735,0.00791,0.007886,0.007869,0.007901,0.007335,0.00832,0.00785,0.007854,0.007937,0.007437,0.007899,0.007865,0.007876,0.008011,0.007674,0.007814,0.007422,0.007813,0.007773,0.007769,0.007391,0.007874,0.008247,0.007868,0.007965,0.007789,0.007558,0.007392,0.007414,0.007427,0.007827,0.007555,0.007802,0.008027,0.007835,0.007836,0.007819,0.007421,0.017325,0.014745,0.01758,0.017147,0.014953,0.017436,0.0148,0.01991,0.017212,0.017893
0.117567,0.080391,0.063124,0.083266,0.053012,0.04681,0.037833,0.032178,0.030153,0.030162,0.032345,0.026438,0.027661,0.021495,0.023617,0.019704,0.018473,0.017816,0.017077,0.013932,0.013273,0.015446,0.017523,0.014164,0.014069,0.013433,0.013463,0.013181,0.012029,0.013883,0.01304,0.017833,0.013347,0.012904,0.011454,0.011211,0.010819,0.010129,0.010067,0.010968,0.011264,0.011468,0.008655,0.010379,0.010323,0.010564,0.009905,0.010822,0.010306,0.010299,0.011341,0.008961,0.010144,0.010807,0.009702,0.009645,0.009922,0.008541,0.010025,0.009651,0.010006,0.008509,0.008501,0.008401,0.008326,0.009418,0.009249,0.008658,0.008866,0.008844,0.008857,0.008782,0.008795,0.007935,0.007819,0.007833,0.008886,0.008919,0.008817,0.00845,0.008342,0.007543,0.008423,0.008334,0.008194,0.008028,0.008046,0.00814,0.008115,0.008729,0.008057,0.00774,0.008022,0.008002,0.007795,0.007867,0.008071,0.007709,0.007884,0.007918,0.007714,0.007822,0.008129,0.007773,0.007659,0.007878,0.007713,0.00784,0.006884,0.007701,0.007699,0.007719,0.007827,0.007853,0.007564,0.007889,0.007794,0.007664,0.007573,0.007582,0.008003,0.007922,0.008682,0.008036,0.007929,0.007972,0.007746,0.007442,0.00773,0.008085,0.008231,0.008141,0.007165,0.007922,0.008004,0.0078,0.007972,0.00778,0.007848,0.00773,0.007029,0.00764,0.007873,0.007587,0.007907,0.007612,0.007945,0.007721,0.007173,0.007753,0.007923,0.007793,0.007132,0.007746,0.007982,0.007726,0.007725,0.007832,0.008353,0.007712,0.007822,0.008022,0.007708,0.007778,0.007094,0.007119,0.007925,0.007705,0.00776,0.007493,0.007375,0.007581,0.008197,0.007581,0.007487,0.007487,0.007092,0.007492,0.007395,0.007451,0.00794,0.008372,0.007849,0.00731,0.007585,0.007867,0.008306,0.007841,0.008395,0.007935,0.008009,0.007898,0.007401,0.007843,0.007884,0.00804,0.007559,0.007384,0.00786,0.007809,0.007101,0.007943,0.007786,0.007979,0.007822,0.007795,0.007323,0.008291,0.007845,0.007825,0.007353,0.007992,0.007815,0.007915,0.007898,0.007805,0.007624,0.007901,0.00735,0.007808,0.007926,0.007833,0.007758,0.007793,0.007848,0.007971,0.007874,0.007476,0.007529,0.007452,0.007662,0.007408,0.00786,0.008001,0.007868,0.00795,0.007942,0.007921,0.007822,0.008035,0.016859,0.016321,0.017455,0.01753,0.017642,0.01728,0.017393,0.017678,0.018727,0.020185
0.117731,0.080786,0.110285,0.079297,0.047395,0.035603,0.039762,0.032982,0.03276,0.029808,0.029096,0.031243,0.032243,0.021649,0.023824,0.0197,0.018632,0.017843,0.016883,0.013544,0.013777,0.015103,0.017376,0.016441,0.013605,0.0135,0.012965,0.015196,0.012238,0.013427,0.012302,0.011605,0.013272,0.011243,0.009855,0.011175,0.010319,0.010778,0.011656,0.010892,0.012237,0.010512,0.010654,0.010001,0.010013,0.010555,0.009824,0.011725,0.010925,0.009743,0.009741,0.009989,0.009628,0.008755,0.010613,0.010546,0.009484,0.009171,0.010745,0.008996,0.009595,0.009364,0.00967,0.008435,0.008344,0.010531,0.009234,0.007881,0.008565,0.00887,0.008834,0.008871,0.008888,0.007922,0.00897,0.007818,0.008809,0.008804,0.008985,0.008077,0.00806,0.00822,0.008153,0.008132,0.008189,0.008291,0.007925,0.007961,0.007802,0.008986,0.008498,0.008181,0.007809,0.008002,0.008038,0.007887,0.007838,0.007921,0.007842,0.007845,0.007862,0.008496,0.007719,0.007724,0.007832,0.007725,0.006984,0.007265,0.007614,0.007712,0.007681,0.007978,0.007884,0.006875,0.007813,0.007867,0.007763,0.008261,0.007862,0.007658,0.008048,0.007968,0.007884,0.007856,0.008316,0.007764,0.007928,0.007778,0.007945,0.008687,0.008252,0.008101,0.007797,0.008149,0.00828,0.007262,0.007862,0.007913,0.007694,0.007921,0.007478,0.007859,0.007644,0.007905,0.007645,0.007845,0.007639,0.007306,0.007235,0.008073,0.007854,0.007893,0.007849,0.007768,0.00781,0.007872,0.007749,0.007853,0.008054,0.007626,0.007717,0.007759,0.007757,0.007802,0.007129,0.007279,0.007794,0.007737,0.007764,0.007451,0.007427,0.007499,0.007406,0.007645,0.007527,0.007569,0.007034,0.007675,0.007405,0.007368,0.007823,0.007838,0.00736,0.007904,0.007687,0.007898,0.007907,0.007849,0.007983,0.008025,0.007854,0.007854,0.007908,0.00796,0.0079,0.007969,0.007362,0.007873,0.007827,0.007956,0.007171,0.007909,0.007333,0.007903,0.00841,0.00789,0.007844,0.008274,0.007847,0.007677,0.008119,0.007916,0.008108,0.007984,0.007828,0.007357,0.00773,0.007536,0.007385,0.007949,0.007984,0.007853,0.007329,0.00783,0.007645,0.007843,0.007895,0.007354,0.007897,0.007366,0.007825,0.007415,0.007694,0.008099,0.007871,0.007184,0.007919,0.007854,0.007817,0.008008,0.015356,0.017313,0.016642,0.017656,0.017302,0.017789,0.018204,0.017598,0.014845,0.017704
0.117501,0.080927,0.104968,0.06637,0.057801,0.047345,0.038004,0.033639,0.032986,0.029483,0.027301,0.02559,0.021806,0.021124,0.024088,0.01994,0.018615,0.017912,0.01772,0.013824,0.01531,0.01561,0.017109,0.016396,0.014243,0.013815,0.015439,0.013192,0.014673,0.012506,0.011669,0.01644,0.014457,0.010682,0.00961,0.010823,0.010503,0.010183,0.01052,0.011042,0.011372,0.01167,0.010024,0.010595,0.010557,0.009915,0.009416,0.012227,0.010498,0.012336,0.013411,0.008997,0.008754,0.011008,0.008695,0.008894,0.011199,0.008631,0.009187,0.008962,0.008594,0.008477,0.008737,0.009468,0.009228,0.010457,0.009172,0.008674,0.009065,0.008677,0.008978,0.008927,0.008811,0.007801,0.009035,0.008868,0.008817,0.00882,0.00989,0.008341,0.007615,0.008124,0.008481,0.008117,0.008126,0.008151,0.008328,0.008009,0.008325,0.009007,0.007893,0.007836,0.007889,0.007922,0.007984,0.007826,0.007974,0.007767,0.007935,0.007617,0.008438,0.007817,0.007844,0.00789,0.007645,0.007816,0.007774,0.007782,0.006908,0.007785,0.00765,0.007795,0.007063,0.007852,0.007974,0.007757,0.007088,0.007592,0.007896,0.007847,0.007998,0.007964,0.008485,0.008343,0.008813,0.007979,0.00784,0.008005,0.007966,0.008079,0.008039,0.008004,0.007244,0.007893,0.008022,0.008059,0.007917,0.00773,0.008122,0.007599,0.007166,0.007682,0.007197,0.007645,0.008029,0.007581,0.00807,0.008065,0.007178,0.007801,0.008038,0.00777,0.007187,0.007852,0.007939,0.007756,0.007782,0.008538,0.007761,0.007016,0.00776,0.00778,0.007778,0.007915,0.007842,0.00716,0.007909,0.008504,0.007756,0.007638,0.00794,0.007891,0.007636,0.007486,0.007564,0.007482,0.00691,0.007525,0.007344,0.007426,0.007892,0.007911,0.008003,0.008159,0.00772,0.007486,0.008309,0.007803,0.008456,0.007971,0.007918,0.00786,0.007995,0.008051,0.007939,0.007977,0.007431,0.008108,0.007393,0.007836,0.007842,0.007772,0.007816,0.00792,0.007951,0.007879,0.007822,0.007863,0.008021,0.007349,0.007792,0.007982,0.007952,0.007836,0.007851,0.00808,0.007765,0.007854,0.007884,0.007853,0.00783,0.007873,0.007408,0.007421,0.007631,0.007924,0.007996,0.007757,0.007719,0.007419,0.007821,0.008055,0.00774,0.007593,0.007911,0.007232,0.007859,0.00779,0.007867,0.007884,0.015095,0.014984,0.017241,0.016887,0.016611,0.017036,0.017796,0.014791,0.016148,0.01823
