TimeStamp,GraphName,NumVertices,NumEdges,Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-09_115433,gnutella30_bi,73364,176656,ppf3_KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,NumThreads,Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0.065381,0.041302,0.035994,0.028373,0.029607,0.0211,0.022056,0.020061,0.018927,0.017762,0.017556,0.015801,0.014027,0.013108,0.012724,0.012813,0.015384,0.011616,0.011298,0.010901,0.013552,0.010231,0.009933,0.009924,0.011854,0.009402,0.00938,0.009146,0.009068,0.010214,0.010023,0.008651,0.008219,0.009759,0.008064,0.007833,0.00776,0.009283,0.007894,0.007666,0.007663,0.009858,0.009477,0.007482,0.007452,0.008634,0.008232,0.007773,0.007704,0.009491,0.008978,0.008252,0.007028,0.008007,0.007865,0.008239,0.00766,0.007429,0.008155,0.007691,0.007132,0.006898,0.008116,0.008504,0.008627,0.007135,0.00794,0.008052,0.007988,0.007296,0.007974,0.008106,0.008342,0.007167,0.008406,0.008312,0.008216,0.007135,0.008156,0.007002,0.007695,0.007536,0.007545,0.007584,0.006774,0.007433,0.006972,0.007694,0.00758,0.007591,0.007587,0.007509,0.007502,0.006845,0.007349,0.00775,0.006807,0.007228,0.0074,0.006631,0.006765,0.007351,0.006853,0.007261,0.00695,0.006848,0.006749,0.006964,0.007523,0.007515,0.006726,0.007303,0.006769,0.006731,0.006683,0.00727,0.007204,0.007383,0.006741,0.006814,0.007316,0.00712,0.007083,0.007201,0.007594,0.007163,0.007059,0.007343,0.007536,0.00754,0.00704,0.006946,0.007061,0.0076,0.007194,0.00716,0.007121,0.007672,0.007074,0.007142,0.007125,0.007667,0.007231,0.007289,0.00733,0.007876,0.007737,0.007258,0.007217,0.007717,0.007663,0.007655,0.007111,0.007566,0.007619,0.007681,0.007236,0.007599,0.007718,0.007644,0.007268,0.007237,0.007802,0.00769,0.007281,0.007234,0.007701,0.007658,0.007787,0.007173,0.007551,0.007517,0.007573,0.007725,0.007624,0.007624,0.007587,0.00729,0.007112,0.007242,0.007726,0.008107,0.007691,0.008065,0.007827,0.008223,0.007858,0.007902,0.008069,0.008065,0.007563,0.008048,0.008103,0.008071,0.008089,0.007741,0.008281,0.007786,0.007774,0.007777,0.007759,0.00807,0.007746,0.007781,0.007835,0.007811,0.00778,0.00784,0.007718,0.007842,0.007915,0.007955,0.007942,0.008291,0.007757,0.008245,0.00846,0.008009,0.007982,0.008076,0.007782,0.00793,0.007933,0.007965,0.008319,0.008294,0.008092,0.008029,0.008125,0.008109,0.008035,0.008079,0.008385,0.008363,0.00848,0.008047,0.008049,0.008054,0.008374,0.008146,0.014637,0.016158,0.01526,0.016356,0.013326,0.017017,0.017189,0.016547,0.017369,0.016326
0.062453,0.040774,0.046439,0.036173,0.023339,0.026439,0.022652,0.020427,0.017784,0.017532,0.016023,0.013208,0.014876,0.013015,0.012569,0.012156,0.01462,0.011303,0.011169,0.010516,0.012874,0.009834,0.00944,0.009918,0.011091,0.008979,0.00893,0.009836,0.009669,0.011539,0.008164,0.008027,0.007729,0.009214,0.00763,0.007866,0.008011,0.008779,0.007759,0.007952,0.007529,0.009277,0.008739,0.007421,0.007184,0.007999,0.007875,0.007306,0.007384,0.007648,0.008285,0.008706,0.007304,0.007584,0.007449,0.007385,0.006486,0.006677,0.008141,0.008216,0.00667,0.006747,0.007365,0.007596,0.007373,0.006693,0.007603,0.007622,0.007509,0.006653,0.00738,0.007714,0.007566,0.006662,0.00768,0.007576,0.007524,0.006729,0.007512,0.007244,0.006615,0.006964,0.007288,0.007036,0.007174,0.007138,0.006339,0.006914,0.007124,0.006835,0.007348,0.006825,0.006883,0.006425,0.007176,0.006937,0.006773,0.006776,0.006933,0.006013,0.006289,0.006793,0.006203,0.006949,0.006135,0.006362,0.006083,0.006258,0.006635,0.00692,0.007019,0.006664,0.006159,0.005995,0.005977,0.006239,0.006608,0.006074,0.006053,0.006201,0.006995,0.006578,0.007045,0.006369,0.00696,0.006383,0.006492,0.006324,0.006841,0.006942,0.006341,0.006426,0.006338,0.006883,0.00652,0.006361,0.006437,0.006713,0.006411,0.006251,0.006526,0.006949,0.006436,0.006256,0.006489,0.006924,0.006906,0.006165,0.006379,0.006753,0.006636,0.006884,0.006423,0.00674,0.006793,0.00683,0.006381,0.006942,0.006917,0.006812,0.006337,0.006439,0.006767,0.006914,0.006308,0.006336,0.006816,0.00678,0.00697,0.006306,0.006691,0.006613,0.006647,0.006669,0.006738,0.006623,0.006649,0.006299,0.006327,0.006272,0.006731,0.007044,0.007176,0.007199,0.006916,0.007143,0.006708,0.006977,0.007428,0.007083,0.006913,0.007119,0.007138,0.006921,0.007106,0.006987,0.006779,0.007063,0.006833,0.007058,0.007125,0.006762,0.006855,0.006766,0.006789,0.006532,0.006749,0.006761,0.006557,0.006902,0.006754,0.006995,0.006961,0.007202,0.007066,0.006955,0.007118,0.007069,0.00681,0.006862,0.006634,0.006985,0.006805,0.006818,0.007186,0.007177,0.006767,0.006853,0.006828,0.006868,0.006765,0.006883,0.007194,0.007127,0.007218,0.006855,0.006786,0.006881,0.00724,0.007261,0.019107,0.014372,0.014414,0.014603,0.012903,0.014759,0.014594,0.014226,0.015768,0.014522
0.063542,0.040367,0.044423,0.035908,0.026834,0.020956,0.021654,0.018807,0.019628,0.017788,0.017158,0.015614,0.014101,0.013259,0.012156,0.012378,0.014739,0.011311,0.011077,0.010557,0.012955,0.009803,0.009501,0.009558,0.011004,0.00923,0.00893,0.008288,0.008566,0.010442,0.008236,0.008124,0.008056,0.009455,0.007671,0.007481,0.007501,0.008531,0.007604,0.007477,0.007286,0.009628,0.008383,0.007313,0.007389,0.008021,0.00783,0.007582,0.007292,0.007772,0.007855,0.007657,0.00691,0.008378,0.008479,0.007528,0.006758,0.006638,0.007347,0.007489,0.007089,0.007039,0.007478,0.007869,0.007401,0.006687,0.007771,0.007622,0.007687,0.006472,0.007462,0.007609,0.00776,0.006801,0.00782,0.007914,0.007616,0.006632,0.007452,0.007032,0.006559,0.00719,0.007093,0.007321,0.006847,0.007388,0.006289,0.007425,0.006789,0.006256,0.006963,0.006908,0.006774,0.007187,0.006792,0.006846,0.006754,0.006715,0.006055,0.006122,0.006129,0.006795,0.006889,0.006697,0.006319,0.006319,0.006038,0.00621,0.00671,0.006762,0.006039,0.006898,0.006167,0.006053,0.006189,0.006102,0.00664,0.006148,0.006013,0.006307,0.006977,0.006539,0.00641,0.006381,0.007061,0.006423,0.006481,0.006463,0.006749,0.006957,0.00637,0.006221,0.006385,0.006805,0.006344,0.006345,0.006362,0.007119,0.006382,0.006384,0.006704,0.007064,0.006414,0.006363,0.006303,0.006842,0.006942,0.006372,0.006485,0.006774,0.00664,0.006762,0.006404,0.006847,0.006902,0.006844,0.006486,0.006775,0.006802,0.006864,0.006365,0.006359,0.006833,0.006969,0.006437,0.006347,0.006821,0.006715,0.006837,0.006577,0.006704,0.006588,0.006715,0.006823,0.006622,0.006791,0.00663,0.006256,0.006213,0.006242,0.006728,0.007046,0.007082,0.007082,0.007043,0.007134,0.006813,0.007052,0.007049,0.007213,0.006488,0.007093,0.007044,0.006867,0.007,0.006686,0.006872,0.007184,0.00704,0.007062,0.006665,0.006732,0.006752,0.006758,0.007046,0.006623,0.006744,0.006762,0.006707,0.006777,0.006812,0.006623,0.00675,0.007156,0.006727,0.00712,0.007168,0.006926,0.006751,0.006861,0.006598,0.006756,0.006802,0.00714,0.007125,0.007115,0.006894,0.006855,0.006838,0.006863,0.006857,0.006878,0.007143,0.007189,0.007249,0.006852,0.006854,0.006876,0.007167,0.007257,0.017641,0.014718,0.014457,0.014394,0.011975,0.014233,0.014422,0.015376,0.015463,0.01493
0.063223,0.040815,0.042535,0.030172,0.029515,0.026995,0.022657,0.019408,0.019142,0.017601,0.01655,0.015645,0.013545,0.013055,0.012532,0.0122,0.014541,0.011498,0.01133,0.010602,0.012497,0.009827,0.009411,0.009647,0.011034,0.008928,0.008779,0.008466,0.008765,0.009993,0.008391,0.007742,0.00791,0.009423,0.00793,0.007767,0.007417,0.009055,0.007996,0.007756,0.007217,0.009427,0.008708,0.007062,0.007323,0.008194,0.007854,0.007235,0.007395,0.009374,0.007743,0.007675,0.006932,0.007616,0.008158,0.00831,0.007015,0.006588,0.007768,0.007492,0.006526,0.006788,0.008355,0.008287,0.007799,0.006682,0.007472,0.007544,0.007578,0.006731,0.007463,0.007571,0.007463,0.006673,0.007671,0.00757,0.007516,0.006669,0.007511,0.007154,0.006608,0.00719,0.007241,0.00687,0.006939,0.006345,0.006503,0.006842,0.007236,0.006991,0.006749,0.006286,0.006904,0.006223,0.006695,0.007001,0.0071,0.006255,0.0068,0.005994,0.006406,0.00683,0.006124,0.006815,0.006076,0.006677,0.006123,0.00635,0.006743,0.00686,0.00625,0.006628,0.006111,0.006615,0.006263,0.006063,0.006645,0.006115,0.006119,0.006307,0.007081,0.006354,0.006479,0.006392,0.007048,0.006299,0.006415,0.006345,0.006841,0.006806,0.006309,0.006365,0.00634,0.006774,0.006451,0.006353,0.006498,0.006993,0.006576,0.006298,0.006344,0.006823,0.006365,0.006299,0.006932,0.006804,0.006891,0.006194,0.006371,0.006804,0.00672,0.006802,0.006501,0.006691,0.006789,0.006835,0.006193,0.006852,0.006814,0.006863,0.006367,0.006334,0.006806,0.006804,0.006366,0.006319,0.006781,0.006796,0.006827,0.006408,0.006702,0.006574,0.006806,0.006751,0.006655,0.006712,0.006619,0.006259,0.006164,0.006305,0.006688,0.00696,0.007061,0.007044,0.006867,0.006774,0.006667,0.00727,0.007082,0.007144,0.00651,0.007113,0.007104,0.006556,0.007002,0.00676,0.007081,0.007093,0.006689,0.006844,0.007044,0.006709,0.007101,0.006723,0.006693,0.006599,0.006825,0.006745,0.006723,0.006813,0.006835,0.006606,0.006918,0.007157,0.006639,0.007136,0.007122,0.006946,0.006823,0.006752,0.006585,0.006796,0.007061,0.00688,0.007111,0.00714,0.006923,0.006872,0.006894,0.006913,0.006905,0.006808,0.007166,0.007162,0.007305,0.006801,0.006864,0.006879,0.007168,0.006895,0.012562,0.014256,0.014026,0.014445,0.012324,0.017249,0.014817,0.014043,0.015717,0.015204
0.062003,0.040581,0.035149,0.035455,0.02343,0.02091,0.021677,0.019601,0.018046,0.017474,0.016966,0.013282,0.013602,0.013095,0.012287,0.012243,0.015513,0.011225,0.011161,0.010831,0.012607,0.010219,0.009494,0.009682,0.011034,0.008991,0.008757,0.008508,0.008968,0.009832,0.008788,0.008057,0.008163,0.009623,0.007781,0.007613,0.007304,0.008769,0.007779,0.007624,0.007524,0.009763,0.00855,0.007224,0.007173,0.00812,0.007806,0.007184,0.007346,0.008225,0.00853,0.008632,0.006699,0.007535,0.007798,0.007435,0.006578,0.00704,0.008269,0.00743,0.006519,0.006466,0.007464,0.007455,0.0082,0.006563,0.007421,0.007658,0.007756,0.006547,0.007467,0.007541,0.006504,0.006828,0.007669,0.007495,0.007861,0.006708,0.007642,0.007115,0.007337,0.006415,0.007035,0.007223,0.006973,0.007122,0.006157,0.007182,0.007058,0.006085,0.007059,0.0072,0.006787,0.00613,0.006751,0.006838,0.006341,0.0068,0.006087,0.006154,0.006129,0.006648,0.006969,0.006659,0.006152,0.006084,0.0061,0.006154,0.006801,0.006667,0.006221,0.00694,0.006077,0.006228,0.006051,0.006014,0.00673,0.006165,0.006747,0.006248,0.007033,0.006561,0.006332,0.006456,0.006924,0.00666,0.006414,0.006363,0.006902,0.006882,0.006344,0.006215,0.006343,0.00682,0.006397,0.006413,0.006346,0.006975,0.006324,0.006343,0.006335,0.006906,0.006306,0.006281,0.006364,0.006908,0.00689,0.006336,0.006416,0.007017,0.00669,0.006874,0.006312,0.006804,0.006828,0.006866,0.006499,0.006848,0.006832,0.006825,0.006363,0.006575,0.006984,0.006799,0.006318,0.006407,0.006935,0.006896,0.006797,0.006245,0.006566,0.006649,0.006656,0.006745,0.006293,0.007016,0.006596,0.00634,0.006198,0.006325,0.006682,0.006963,0.006693,0.007109,0.00687,0.007092,0.006742,0.006905,0.007083,0.007073,0.006534,0.007101,0.007224,0.007066,0.007254,0.007247,0.007103,0.007067,0.00711,0.006721,0.007118,0.006705,0.006755,0.006785,0.006773,0.006614,0.006729,0.006707,0.006884,0.006756,0.006801,0.006694,0.006844,0.006786,0.006638,0.007156,0.007087,0.006888,0.007138,0.006789,0.006632,0.006789,0.007148,0.006572,0.007093,0.007151,0.006827,0.006845,0.006896,0.006909,0.006865,0.006892,0.007114,0.007161,0.007283,0.006801,0.006862,0.006834,0.006879,0.006909,0.012006,0.014694,0.014946,0.014969,0.012891,0.015522,0.015041,0.014947,0.014468,0.016126
0.063064,0.040278,0.035471,0.029707,0.026986,0.026427,0.02262,0.020866,0.018809,0.017698,0.015981,0.015572,0.014938,0.012781,0.012624,0.012316,0.015473,0.011318,0.011196,0.01085,0.012517,0.010448,0.009437,0.009316,0.01148,0.008924,0.008925,0.009116,0.008421,0.010163,0.008127,0.008301,0.009092,0.009307,0.007742,0.007745,0.008032,0.00895,0.007791,0.007969,0.007205,0.009716,0.008751,0.007071,0.007103,0.008275,0.007831,0.007489,0.007471,0.00794,0.00781,0.008063,0.007167,0.008424,0.007407,0.007462,0.006523,0.00645,0.007669,0.007983,0.007042,0.006549,0.007408,0.007419,0.00738,0.006668,0.007405,0.007553,0.007607,0.006523,0.007483,0.007729,0.006602,0.006669,0.007608,0.007615,0.007716,0.006829,0.007596,0.007337,0.006992,0.007202,0.00713,0.007176,0.007117,0.006997,0.006578,0.006915,0.00709,0.006967,0.006288,0.006836,0.006755,0.006071,0.007052,0.007009,0.006791,0.006931,0.006851,0.006153,0.006128,0.007045,0.006206,0.006801,0.006314,0.006116,0.00603,0.00611,0.006884,0.006826,0.006091,0.006217,0.006675,0.006013,0.006878,0.006161,0.006608,0.006031,0.006141,0.006063,0.007059,0.006379,0.006539,0.00656,0.006973,0.006371,0.00648,0.006522,0.00683,0.007013,0.006604,0.006158,0.006353,0.006914,0.0063,0.006285,0.00639,0.006715,0.006422,0.006472,0.006413,0.006737,0.006565,0.006279,0.006368,0.006719,0.006838,0.006409,0.006324,0.006834,0.006945,0.006821,0.006385,0.00676,0.006914,0.006947,0.006273,0.006881,0.006842,0.006832,0.006304,0.006533,0.007051,0.006785,0.006316,0.006373,0.006884,0.006926,0.006758,0.006277,0.006802,0.006697,0.006775,0.006714,0.006225,0.006711,0.006625,0.006359,0.006115,0.006257,0.006755,0.006486,0.007118,0.007083,0.006986,0.007153,0.006718,0.007106,0.00706,0.007092,0.006557,0.007133,0.007135,0.007012,0.007206,0.006881,0.007129,0.00702,0.007486,0.006703,0.007073,0.006763,0.006694,0.006714,0.006759,0.006495,0.006834,0.006812,0.006583,0.006825,0.00669,0.006559,0.006781,0.006843,0.00692,0.007112,0.00722,0.006889,0.006764,0.006816,0.006662,0.006837,0.007228,0.006969,0.007198,0.007143,0.006786,0.006871,0.006805,0.006875,0.006803,0.006923,0.007146,0.007142,0.007257,0.006836,0.006816,0.006873,0.007118,0.006916,0.012405,0.014272,0.014905,0.014738,0.012684,0.013972,0.01558,0.015637,0.014912,0.015754
0.062393,0.041388,0.035761,0.036787,0.029366,0.021012,0.022085,0.018716,0.017759,0.017599,0.017135,0.015639,0.014251,0.013,0.012728,0.012684,0.014797,0.011056,0.010863,0.010709,0.012569,0.010436,0.009995,0.009368,0.011522,0.009313,0.008916,0.008545,0.008468,0.010925,0.007956,0.008921,0.007826,0.009452,0.007645,0.007528,0.007709,0.008742,0.007455,0.007411,0.00728,0.009269,0.008539,0.007462,0.00714,0.008106,0.008118,0.007455,0.007421,0.00784,0.007898,0.007893,0.006554,0.007853,0.008252,0.007051,0.006503,0.006492,0.007472,0.007562,0.006802,0.00704,0.008169,0.007418,0.00698,0.006796,0.007482,0.007645,0.00749,0.006603,0.00765,0.007636,0.006642,0.00662,0.00757,0.007559,0.007961,0.006773,0.007795,0.006589,0.007063,0.007257,0.007023,0.007136,0.006993,0.007163,0.00631,0.00711,0.00701,0.00666,0.006871,0.006321,0.006838,0.006758,0.007041,0.006809,0.006072,0.006896,0.00625,0.006013,0.006234,0.006855,0.006171,0.006725,0.006109,0.006064,0.006118,0.006297,0.006742,0.006649,0.006263,0.006756,0.006055,0.006219,0.006017,0.006046,0.006704,0.006025,0.00636,0.006793,0.006931,0.006407,0.006644,0.006404,0.006922,0.006814,0.006483,0.006372,0.006947,0.007028,0.006301,0.006335,0.006396,0.006843,0.00646,0.006597,0.006369,0.007002,0.006277,0.006452,0.006288,0.006967,0.00629,0.006363,0.006284,0.006957,0.006792,0.006507,0.006375,0.006847,0.006804,0.006811,0.006353,0.006702,0.006911,0.007228,0.006491,0.006791,0.006916,0.006851,0.006343,0.006327,0.006764,0.006896,0.006364,0.006329,0.006851,0.006722,0.006852,0.006272,0.006794,0.006622,0.006615,0.006681,0.006769,0.00678,0.006933,0.006408,0.006359,0.006744,0.006725,0.007065,0.007114,0.00711,0.007006,0.007106,0.006672,0.007101,0.007122,0.00714,0.006621,0.007111,0.007072,0.006959,0.007156,0.007132,0.007188,0.007402,0.006715,0.00704,0.007079,0.006866,0.006751,0.006766,0.006795,0.00669,0.006787,0.006772,0.006633,0.006789,0.006724,0.006615,0.006744,0.00696,0.006993,0.007128,0.007135,0.007393,0.006767,0.007123,0.006536,0.006746,0.007109,0.006948,0.007226,0.007275,0.006787,0.006832,0.00694,0.006856,0.00688,0.006898,0.007173,0.007114,0.007252,0.006861,0.00687,0.006959,0.007167,0.007125,0.012388,0.015196,0.014411,0.014476,0.012696,0.014897,0.016129,0.014583,0.015866,0.014822
0.0633,0.040166,0.045979,0.035183,0.023542,0.026441,0.022995,0.019146,0.019701,0.017608,0.016077,0.013296,0.013813,0.012901,0.012536,0.012527,0.014878,0.011171,0.010799,0.010807,0.013158,0.010142,0.00986,0.009303,0.011619,0.009461,0.009283,0.008562,0.008226,0.009883,0.008183,0.007881,0.008008,0.009363,0.007541,0.007578,0.007422,0.008797,0.007903,0.007947,0.007602,0.009433,0.008543,0.007589,0.007088,0.008189,0.007868,0.007279,0.007705,0.008786,0.00866,0.007995,0.006739,0.007642,0.007467,0.007708,0.007105,0.007195,0.007529,0.007396,0.006839,0.006601,0.007571,0.008162,0.008124,0.006679,0.00758,0.007546,0.007475,0.006613,0.007567,0.007724,0.006748,0.006635,0.007591,0.007666,0.007662,0.006603,0.007562,0.007097,0.007046,0.007289,0.007224,0.007246,0.007216,0.007142,0.006314,0.007051,0.006879,0.007053,0.006207,0.007076,0.007263,0.006238,0.007077,0.006681,0.006931,0.006196,0.006856,0.006127,0.006153,0.006253,0.006164,0.006928,0.006231,0.006317,0.006152,0.00635,0.006237,0.006711,0.006971,0.006683,0.006051,0.00623,0.006196,0.006128,0.006778,0.006068,0.006689,0.00621,0.007122,0.006366,0.006418,0.006411,0.007178,0.006427,0.0064,0.006349,0.006742,0.006892,0.00634,0.0062,0.006402,0.006868,0.006363,0.006316,0.006398,0.006962,0.006457,0.006411,0.006394,0.00683,0.006384,0.006274,0.006478,0.006814,0.006854,0.006248,0.006627,0.00684,0.006747,0.006837,0.006464,0.006704,0.007071,0.006867,0.006228,0.00682,0.006881,0.00689,0.006353,0.006467,0.006802,0.006838,0.006524,0.006386,0.006747,0.006836,0.006854,0.006275,0.006732,0.006627,0.006647,0.006725,0.006671,0.006668,0.006842,0.006446,0.006221,0.006328,0.006819,0.006582,0.007022,0.007165,0.0069,0.007183,0.00668,0.00695,0.007022,0.007204,0.006544,0.007206,0.007061,0.007204,0.007251,0.0067,0.007069,0.00709,0.007087,0.006756,0.006675,0.006674,0.006791,0.006723,0.006694,0.006738,0.006766,0.006757,0.00664,0.006876,0.006798,0.006706,0.00711,0.007155,0.006952,0.00712,0.007375,0.006941,0.006824,0.006743,0.00658,0.006799,0.00682,0.006981,0.007343,0.007097,0.006983,0.006849,0.006913,0.006901,0.006878,0.006823,0.007151,0.007149,0.007261,0.006851,0.006847,0.006857,0.00717,0.006895,0.012984,0.014304,0.016058,0.014614,0.012626,0.01653,0.014408,0.014528,0.01529,0.014848
0.062297,0.040771,0.044933,0.030893,0.027004,0.021242,0.021814,0.019722,0.019246,0.017768,0.017247,0.015622,0.013763,0.012883,0.012375,0.01212,0.014627,0.01104,0.010829,0.010488,0.012958,0.010191,0.010064,0.009287,0.011439,0.009137,0.009339,0.008852,0.008176,0.010116,0.007857,0.009093,0.009252,0.009126,0.007634,0.007674,0.00754,0.008915,0.00743,0.007618,0.00716,0.0094,0.008737,0.006999,0.006951,0.008144,0.007809,0.007425,0.007348,0.00792,0.008212,0.008559,0.007617,0.007981,0.007557,0.007713,0.006443,0.006568,0.008102,0.008267,0.006591,0.006528,0.007477,0.007403,0.0074,0.006669,0.007445,0.007708,0.007497,0.006625,0.007484,0.007552,0.007503,0.006834,0.007714,0.007707,0.007536,0.006759,0.007723,0.007351,0.007245,0.00705,0.006919,0.007038,0.007301,0.007051,0.006133,0.006465,0.007079,0.00701,0.006912,0.006869,0.007008,0.006165,0.006116,0.007168,0.006277,0.006638,0.006111,0.006057,0.006248,0.006692,0.006867,0.006734,0.006237,0.00607,0.006269,0.006322,0.006089,0.006955,0.006025,0.007004,0.006153,0.006027,0.006224,0.006085,0.006715,0.006022,0.006003,0.006167,0.006977,0.006458,0.00638,0.006479,0.006942,0.006615,0.006544,0.006328,0.006851,0.006864,0.006336,0.006251,0.006373,0.006929,0.006212,0.006448,0.006349,0.007028,0.006284,0.006334,0.006401,0.006978,0.006304,0.006445,0.006432,0.007048,0.006729,0.006335,0.006418,0.006821,0.006953,0.00691,0.006356,0.006759,0.006772,0.006836,0.006267,0.006873,0.006841,0.00679,0.006309,0.00647,0.006796,0.00682,0.006324,0.006373,0.006792,0.006859,0.006845,0.006309,0.006628,0.006891,0.006702,0.006729,0.006664,0.006782,0.006708,0.006261,0.00612,0.00624,0.006681,0.006776,0.007094,0.007037,0.006812,0.007125,0.006708,0.007013,0.007061,0.007126,0.007009,0.007087,0.007145,0.007421,0.007172,0.00677,0.007422,0.007081,0.006726,0.006785,0.00741,0.006703,0.006785,0.006823,0.006789,0.006717,0.006751,0.006786,0.006732,0.006759,0.006777,0.007026,0.006834,0.007111,0.007102,0.007227,0.007064,0.007221,0.006812,0.006794,0.006651,0.006782,0.006749,0.006893,0.007118,0.007087,0.006825,0.006862,0.006893,0.00692,0.006873,0.006867,0.007093,0.007245,0.007266,0.006838,0.007137,0.006854,0.007471,0.006936,0.012212,0.015024,0.01523,0.015203,0.012697,0.014616,0.015848,0.015488,0.015289,0.015192
0.063793,0.040674,0.041943,0.035431,0.029234,0.026317,0.022923,0.020561,0.017858,0.017614,0.016443,0.01538,0.014796,0.012925,0.012233,0.012112,0.014713,0.011064,0.010851,0.010549,0.01294,0.009939,0.009671,0.009326,0.01145,0.009276,0.008963,0.008381,0.008498,0.009967,0.008107,0.008208,0.008189,0.009206,0.007541,0.007781,0.008036,0.008877,0.007839,0.007888,0.007263,0.009309,0.008594,0.007244,0.007133,0.007938,0.008009,0.007273,0.007292,0.007729,0.007828,0.007781,0.007156,0.00842,0.008776,0.007431,0.00645,0.006498,0.007393,0.007571,0.007349,0.007031,0.007458,0.006486,0.007601,0.006594,0.007474,0.007567,0.007784,0.006482,0.007479,0.007767,0.007745,0.007058,0.007635,0.007554,0.007659,0.006632,0.00755,0.007289,0.006353,0.00708,0.007344,0.007288,0.007035,0.006843,0.006242,0.007042,0.007045,0.006843,0.007505,0.006928,0.006186,0.006083,0.007029,0.007235,0.006898,0.006711,0.007029,0.006193,0.006281,0.006759,0.006342,0.006728,0.006042,0.006078,0.006241,0.006053,0.006599,0.006695,0.006752,0.006943,0.005985,0.006221,0.00609,0.006796,0.006577,0.006103,0.00616,0.006168,0.007035,0.006604,0.006455,0.006524,0.007283,0.006499,0.006645,0.006383,0.006825,0.006934,0.006465,0.006355,0.006358,0.006797,0.006228,0.006276,0.006465,0.006838,0.006377,0.006344,0.006508,0.006924,0.006552,0.006291,0.006374,0.006759,0.006915,0.006286,0.006359,0.006857,0.006674,0.006832,0.006463,0.006916,0.006732,0.00698,0.006238,0.006772,0.007057,0.006801,0.006368,0.006377,0.00687,0.006732,0.006346,0.006302,0.00683,0.006767,0.006781,0.006306,0.006795,0.006661,0.006662,0.006641,0.006609,0.006737,0.006648,0.00649,0.006251,0.00711,0.006702,0.006958,0.007094,0.007104,0.006925,0.007088,0.007029,0.006882,0.007056,0.007388,0.006512,0.007071,0.00738,0.007107,0.007247,0.006759,0.007125,0.007036,0.007065,0.00672,0.006724,0.007049,0.006711,0.006719,0.007099,0.006715,0.006695,0.006775,0.006551,0.00679,0.006737,0.006967,0.006805,0.007438,0.006553,0.007078,0.007124,0.006882,0.006795,0.006799,0.006831,0.007023,0.007142,0.00666,0.007165,0.007155,0.006764,0.00684,0.006874,0.006922,0.006791,0.006885,0.007138,0.007157,0.007289,0.006824,0.006805,0.006906,0.006793,0.006939,0.012021,0.014606,0.014691,0.015066,0.012311,0.015757,0.015947,0.02484,0.014689,0.016645
