TimeStamp,GraphName,NumVertices,NumEdges,Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-09_120331,gnutella30_bi,73364,176656,ppf4_KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
0.056945,0.037418,0.031214,0.032868,0.027006,0.019851,0.020978,0.015141,0.016884,0.015895,0.013464,0.013066,0.012311,0.011749,0.011287,0.01099,0.013644,0.010095,0.010047,0.00959,0.011888,0.008774,0.008927,0.008293,0.01068,0.008052,0.008208,0.008982,0.009074,0.011045,0.008591,0.008221,0.008129,0.008447,0.006732,0.006782,0.006858,0.008266,0.007351,0.007257,0.006256,0.008675,0.007786,0.006292,0.006352,0.007439,0.007279,0.006549,0.006793,0.00816,0.007616,0.006928,0.006009,0.006875,0.007362,0.006705,0.006504,0.006448,0.00659,0.005836,0.005623,0.006017,0.006972,0.007361,0.007096,0.005727,0.006427,0.007041,0.006805,0.005837,0.006924,0.006081,0.005846,0.00621,0.006938,0.007198,0.007136,0.006133,0.007026,0.006495,0.006523,0.006461,0.00678,0.006417,0.006439,0.0063,0.005582,0.005691,0.006301,0.006376,0.006667,0.006276,0.006341,0.005577,0.005568,0.006167,0.006519,0.006169,0.006341,0.005728,0.005575,0.006219,0.00619,0.006128,0.005661,0.005765,0.005573,0.005519,0.006314,0.006327,0.006255,0.006015,0.006184,0.005588,0.005687,0.006046,0.00653,0.005587,0.005701,0.005669,0.006494,0.005941,0.006001,0.00573,0.006528,0.005777,0.005925,0.005815,0.006696,0.006416,0.00595,0.005989,0.005973,0.006621,0.006117,0.005876,0.00592,0.006503,0.00588,0.006066,0.005845,0.006713,0.005881,0.006248,0.005944,0.006655,0.006363,0.006029,0.006332,0.006625,0.006364,0.006447,0.006154,0.006473,0.006607,0.006497,0.006183,0.006397,0.006506,0.006686,0.006049,0.006094,0.006593,0.006394,0.005869,0.00597,0.006513,0.006483,0.006522,0.006119,0.006373,0.006309,0.006428,0.006381,0.006604,0.006636,0.006387,0.006036,0.006316,0.006453,0.006412,0.006657,0.006683,0.006648,0.006482,0.006882,0.006315,0.0069,0.006857,0.006516,0.006365,0.006764,0.006764,0.006766,0.006623,0.006399,0.006787,0.006713,0.006415,0.006457,0.006431,0.006491,0.006415,0.006455,0.006473,0.006425,0.006422,0.006451,0.006411,0.006507,0.006618,0.006559,0.006553,0.006931,0.006943,0.006938,0.007173,0.006956,0.006576,0.006603,0.006582,0.0066,0.00704,0.006601,0.006947,0.006801,0.006675,0.006686,0.006683,0.006562,0.006666,0.006663,0.00704,0.007111,0.007179,0.006716,0.006725,0.006739,0.007034,0.006794,0.015104,0.014816,0.016355,0.015065,0.012169,0.014705,0.01525,0.01476,0.015054,0.015631
0.055739,0.036287,0.031834,0.023571,0.024041,0.020728,0.019393,0.017722,0.016866,0.015756,0.014952,0.013033,0.011307,0.011491,0.010984,0.010814,0.013154,0.009768,0.009502,0.009274,0.011835,0.008569,0.008129,0.007827,0.009898,0.007687,0.007821,0.008578,0.008531,0.010648,0.008257,0.00789,0.007706,0.007948,0.006377,0.006317,0.006316,0.00771,0.006057,0.006156,0.006396,0.008264,0.007319,0.005912,0.005967,0.006934,0.007105,0.006114,0.006111,0.007494,0.006703,0.007806,0.005957,0.006386,0.006341,0.006224,0.005579,0.005311,0.007065,0.006679,0.005358,0.005472,0.006221,0.006569,0.006332,0.005242,0.006007,0.00652,0.006311,0.005337,0.006251,0.005411,0.005511,0.005659,0.00663,0.0067,0.006665,0.005641,0.006635,0.006045,0.006022,0.00583,0.005969,0.006001,0.00604,0.006268,0.005099,0.005855,0.005134,0.005744,0.005834,0.005818,0.005773,0.006166,0.005739,0.005915,0.005782,0.005548,0.005682,0.005124,0.00501,0.005685,0.004983,0.005845,0.004949,0.004913,0.004939,0.005183,0.005377,0.005557,0.005452,0.005565,0.004875,0.005108,0.004937,0.004964,0.005531,0.004974,0.005327,0.005013,0.005716,0.005237,0.005193,0.005241,0.005589,0.005285,0.005128,0.005119,0.005546,0.005606,0.005245,0.005211,0.005544,0.005851,0.005315,0.005136,0.005305,0.005504,0.00516,0.005197,0.005389,0.005877,0.005276,0.005141,0.005132,0.005782,0.005639,0.005083,0.005195,0.005524,0.005691,0.005619,0.005139,0.005601,0.005699,0.005706,0.005149,0.0056,0.005728,0.005661,0.005261,0.005112,0.00557,0.00578,0.005074,0.005479,0.005697,0.005579,0.005461,0.005263,0.005644,0.005673,0.005531,0.005459,0.005226,0.005617,0.005411,0.005128,0.005053,0.00566,0.005363,0.005736,0.00574,0.005682,0.005575,0.005848,0.005354,0.005772,0.005662,0.005548,0.005675,0.0057,0.005682,0.005485,0.005729,0.00577,0.005693,0.005454,0.005402,0.005387,0.005761,0.005382,0.005394,0.005335,0.005404,0.005355,0.005381,0.005389,0.005311,0.005393,0.005489,0.005434,0.005761,0.005478,0.005771,0.005743,0.005789,0.005746,0.005431,0.005467,0.005418,0.005453,0.005401,0.005734,0.005757,0.005614,0.005447,0.005512,0.005533,0.005406,0.005522,0.005494,0.00577,0.005622,0.005959,0.005505,0.005475,0.005515,0.005828,0.005585,0.023675,0.013221,0.013626,0.013941,0.011778,0.014194,0.014819,0.014697,0.015297,0.013913
0.056846,0.036925,0.032698,0.024853,0.021449,0.019845,0.020855,0.016029,0.016622,0.015436,0.01289,0.013835,0.012792,0.011573,0.010852,0.011047,0.01325,0.009876,0.009504,0.00961,0.011368,0.008668,0.008185,0.008056,0.01029,0.00804,0.007746,0.008761,0.008436,0.010934,0.008043,0.007846,0.007914,0.007954,0.00684,0.006543,0.006233,0.00771,0.006593,0.006872,0.006313,0.008479,0.007217,0.006087,0.00581,0.007122,0.00677,0.006167,0.006246,0.00684,0.006479,0.007191,0.00549,0.007288,0.007161,0.006215,0.005555,0.005349,0.006695,0.005308,0.005934,0.005619,0.006115,0.006367,0.006134,0.005206,0.006038,0.00634,0.006392,0.005412,0.006323,0.00646,0.005421,0.005568,0.00646,0.006782,0.006548,0.005721,0.00658,0.005962,0.005572,0.005959,0.006002,0.005925,0.00582,0.00598,0.005414,0.006186,0.006333,0.005954,0.005807,0.005157,0.005769,0.005031,0.005877,0.005655,0.006045,0.005095,0.00563,0.004973,0.005488,0.005005,0.005401,0.005641,0.005092,0.004909,0.005109,0.005087,0.005505,0.005486,0.004987,0.005504,0.005138,0.005069,0.005155,0.005571,0.005545,0.005119,0.004986,0.004854,0.006156,0.005243,0.005214,0.005063,0.0058,0.005051,0.005503,0.005365,0.005778,0.005625,0.00518,0.005798,0.005166,0.005641,0.005179,0.005268,0.005112,0.005563,0.005118,0.0053,0.005244,0.005698,0.005042,0.005082,0.005071,0.005598,0.005917,0.005164,0.005277,0.005688,0.005728,0.005743,0.005167,0.005728,0.005526,0.006075,0.005127,0.005596,0.005654,0.005626,0.005243,0.005118,0.005554,0.005696,0.005097,0.005251,0.005635,0.005613,0.005527,0.005057,0.005613,0.00543,0.005404,0.005474,0.005452,0.005441,0.005439,0.005342,0.00502,0.005094,0.005731,0.00568,0.005746,0.005701,0.005553,0.005795,0.005368,0.005905,0.005699,0.005654,0.005462,0.005726,0.005766,0.005725,0.005671,0.005403,0.005824,0.005715,0.005303,0.00579,0.005391,0.005367,0.005434,0.005373,0.005396,0.005386,0.005375,0.005353,0.00525,0.005444,0.00544,0.005398,0.005422,0.005803,0.005449,0.005725,0.005676,0.005773,0.005425,0.005411,0.005427,0.005427,0.005399,0.005456,0.005741,0.005575,0.00572,0.005546,0.005491,0.005454,0.005466,0.00556,0.005793,0.005742,0.006149,0.005488,0.005456,0.00546,0.005802,0.00587,0.01685,0.013126,0.013579,0.014036,0.010996,0.013744,0.014059,0.013851,0.013767,0.014746
0.057366,0.036264,0.034009,0.025125,0.027051,0.020509,0.019067,0.017514,0.01695,0.01552,0.014455,0.012983,0.012641,0.011852,0.010921,0.010942,0.01394,0.010176,0.00942,0.009333,0.01121,0.008625,0.008286,0.008348,0.010301,0.008043,0.007883,0.008826,0.008328,0.010877,0.008031,0.008128,0.008069,0.008212,0.006357,0.006381,0.006758,0.007921,0.006278,0.006296,0.006022,0.008126,0.007289,0.005963,0.006216,0.006906,0.006957,0.006329,0.006371,0.007462,0.006635,0.006455,0.00554,0.007063,0.006248,0.007255,0.005773,0.005318,0.006358,0.006492,0.005612,0.005391,0.007152,0.006833,0.006218,0.005333,0.005947,0.006363,0.006626,0.0054,0.006532,0.005534,0.005363,0.005675,0.006453,0.006781,0.006525,0.005608,0.006612,0.00612,0.00523,0.006096,0.006179,0.00612,0.00525,0.005984,0.005043,0.005266,0.005656,0.005892,0.005836,0.006054,0.005819,0.005646,0.005918,0.005612,0.005703,0.005098,0.005075,0.005158,0.00498,0.005622,0.005237,0.005765,0.00487,0.005156,0.004946,0.005807,0.005622,0.005621,0.005618,0.005807,0.004904,0.005001,0.004893,0.004943,0.005494,0.004994,0.004895,0.005027,0.005804,0.005326,0.005116,0.005276,0.005686,0.00537,0.005007,0.005205,0.005675,0.005781,0.005195,0.005176,0.005699,0.005941,0.005353,0.005032,0.005202,0.005626,0.00517,0.005084,0.005206,0.005581,0.00512,0.005245,0.005188,0.00553,0.005666,0.005139,0.005161,0.00581,0.005574,0.005751,0.005319,0.005805,0.00563,0.005621,0.005385,0.005593,0.005849,0.005685,0.005136,0.005152,0.005699,0.005594,0.005032,0.005208,0.005577,0.005584,0.005545,0.005132,0.005719,0.005514,0.005426,0.005487,0.005583,0.005528,0.005576,0.005116,0.005349,0.005133,0.005356,0.005341,0.005644,0.0057,0.005604,0.005802,0.005329,0.005728,0.005685,0.005691,0.005398,0.005698,0.005774,0.005685,0.005614,0.005328,0.005722,0.005727,0.005444,0.005706,0.005331,0.005415,0.005399,0.005587,0.00535,0.005417,0.005394,0.005562,0.005261,0.005442,0.005438,0.005384,0.005437,0.005862,0.0058,0.005432,0.00573,0.005736,0.005453,0.005386,0.005446,0.005347,0.005742,0.005842,0.005791,0.005611,0.005476,0.005469,0.005457,0.005424,0.005448,0.005546,0.005813,0.005798,0.006011,0.005435,0.005454,0.005478,0.005498,0.005878,0.011164,0.012633,0.013575,0.013062,0.011509,0.013914,0.013727,0.013602,0.01447,0.013945
0.056206,0.036649,0.042462,0.02548,0.024186,0.019835,0.020596,0.014725,0.015272,0.015697,0.013199,0.013231,0.01231,0.011777,0.01061,0.010668,0.013545,0.010157,0.009588,0.009078,0.011411,0.00874,0.008272,0.008045,0.00982,0.00771,0.00825,0.009098,0.008488,0.010778,0.008321,0.00791,0.008029,0.007993,0.006563,0.006544,0.006591,0.007651,0.006869,0.006611,0.006484,0.008566,0.007283,0.00621,0.005962,0.007108,0.006818,0.006123,0.006119,0.00665,0.00762,0.007313,0.005464,0.006537,0.006314,0.006918,0.005493,0.006032,0.006772,0.006086,0.005448,0.005271,0.006737,0.006338,0.006871,0.005244,0.006033,0.006354,0.006559,0.005659,0.006259,0.005581,0.005439,0.00549,0.006559,0.006697,0.006717,0.005606,0.006632,0.006128,0.005993,0.006057,0.00586,0.005955,0.005854,0.006001,0.005572,0.005831,0.005953,0.00575,0.006024,0.005783,0.005921,0.005055,0.00604,0.006048,0.005186,0.005788,0.005622,0.005054,0.005176,0.005649,0.005671,0.005515,0.005004,0.004956,0.004931,0.004938,0.005594,0.004906,0.004925,0.005449,0.005547,0.00506,0.00493,0.004983,0.005658,0.004974,0.004948,0.004962,0.005901,0.005124,0.005408,0.005052,0.006202,0.005137,0.005263,0.005038,0.005814,0.005905,0.005213,0.00525,0.006008,0.005672,0.005254,0.005424,0.005073,0.005577,0.005092,0.005204,0.005315,0.005975,0.00533,0.005168,0.005075,0.005695,0.005662,0.005142,0.005313,0.005632,0.005888,0.005611,0.005106,0.00568,0.005867,0.005769,0.00517,0.005559,0.005582,0.005635,0.005156,0.005188,0.005732,0.005633,0.005111,0.005391,0.005595,0.00557,0.005466,0.005246,0.005406,0.005688,0.005329,0.005461,0.005593,0.005497,0.005436,0.005059,0.005041,0.005442,0.005693,0.005341,0.005388,0.005675,0.005599,0.005695,0.005342,0.005693,0.006022,0.005591,0.005411,0.005354,0.005936,0.005949,0.005646,0.005324,0.005738,0.005371,0.005793,0.005206,0.005402,0.005336,0.005492,0.005496,0.005354,0.005501,0.00539,0.005395,0.005308,0.005456,0.005377,0.005433,0.005409,0.005813,0.005923,0.005926,0.005778,0.0056,0.005418,0.005436,0.005428,0.005282,0.005648,0.005429,0.005852,0.005734,0.00547,0.005468,0.005472,0.00538,0.005484,0.005504,0.005867,0.005833,0.005879,0.005461,0.0055,0.005515,0.005757,0.00551,0.011591,0.013497,0.013738,0.014169,0.011123,0.014005,0.014444,0.014725,0.01401,0.014914
0.057398,0.036289,0.031777,0.03252,0.02153,0.020339,0.019079,0.017581,0.017206,0.015608,0.014717,0.013468,0.011168,0.01167,0.010927,0.010703,0.013376,0.009727,0.010071,0.009095,0.011608,0.008707,0.008692,0.008025,0.009969,0.007792,0.007771,0.00865,0.008406,0.010844,0.008041,0.007795,0.007661,0.008093,0.006532,0.006744,0.006213,0.007965,0.006076,0.006406,0.006111,0.008165,0.00719,0.005851,0.005835,0.006825,0.006941,0.006398,0.006173,0.006485,0.00736,0.00661,0.006091,0.007133,0.006319,0.006287,0.005407,0.005657,0.006123,0.005955,0.005725,0.005402,0.006293,0.006114,0.006767,0.005298,0.005937,0.006552,0.006419,0.005451,0.006282,0.005395,0.005366,0.005703,0.006486,0.006646,0.006899,0.00562,0.006581,0.006018,0.005172,0.00632,0.005905,0.005874,0.005982,0.005732,0.005275,0.005887,0.005819,0.005427,0.006001,0.005698,0.005647,0.005139,0.005363,0.005959,0.005108,0.005351,0.004941,0.005026,0.004984,0.00607,0.005189,0.005756,0.005498,0.00518,0.005049,0.005194,0.005415,0.005628,0.005416,0.005561,0.005014,0.005113,0.004962,0.004985,0.00569,0.004994,0.004906,0.005418,0.005606,0.005214,0.005013,0.005198,0.005695,0.005203,0.00503,0.005379,0.005759,0.005777,0.005111,0.005191,0.005146,0.005732,0.005155,0.005142,0.005192,0.005462,0.005328,0.005213,0.005173,0.00565,0.005143,0.005308,0.005141,0.005516,0.005821,0.005342,0.005222,0.005718,0.005714,0.005583,0.005213,0.00559,0.005528,0.005788,0.005124,0.005637,0.005605,0.005748,0.005223,0.005249,0.005548,0.005613,0.005115,0.005157,0.005747,0.005627,0.005556,0.005157,0.005669,0.00541,0.005551,0.005486,0.00563,0.005521,0.005489,0.005341,0.005094,0.005108,0.00536,0.005674,0.005797,0.005665,0.005662,0.005781,0.005631,0.005841,0.005758,0.005536,0.005353,0.005719,0.005664,0.00572,0.005722,0.005693,0.005763,0.005326,0.005731,0.005315,0.005404,0.005374,0.005362,0.005368,0.005421,0.005367,0.005477,0.005355,0.0053,0.00549,0.005377,0.005768,0.005421,0.005793,0.005847,0.005792,0.005866,0.005638,0.005404,0.005428,0.0054,0.005299,0.00574,0.005401,0.005828,0.005648,0.005526,0.005462,0.005524,0.005383,0.005473,0.00546,0.005809,0.005788,0.005898,0.005442,0.005518,0.005548,0.005787,0.005895,0.011355,0.014165,0.01358,0.0143,0.011106,0.013328,0.01497,0.013295,0.013148,0.014747
0.056816,0.036244,0.031386,0.023876,0.026953,0.02019,0.020631,0.01611,0.016111,0.015719,0.012989,0.012917,0.012625,0.011487,0.011181,0.010861,0.013249,0.009603,0.009472,0.009226,0.011771,0.008498,0.008401,0.007907,0.010088,0.007817,0.007721,0.008709,0.008506,0.010515,0.008192,0.008062,0.00793,0.008225,0.006472,0.006364,0.006149,0.007805,0.006652,0.00697,0.005904,0.00842,0.007299,0.006135,0.006005,0.007258,0.007017,0.006143,0.006184,0.006638,0.006834,0.006385,0.005902,0.006486,0.007529,0.006858,0.005402,0.005629,0.006014,0.006474,0.005504,0.006015,0.0068,0.006209,0.006251,0.00535,0.006185,0.006448,0.006376,0.005592,0.006492,0.005512,0.005416,0.005587,0.006772,0.007064,0.006741,0.005615,0.006701,0.006113,0.0051,0.005957,0.005949,0.005886,0.006031,0.005306,0.005298,0.005892,0.005769,0.005917,0.005744,0.00569,0.006311,0.005055,0.005111,0.005829,0.005691,0.004948,0.004994,0.005059,0.005639,0.005583,0.005178,0.005737,0.004939,0.004914,0.005039,0.00493,0.005732,0.005609,0.005727,0.005532,0.004936,0.00495,0.004983,0.004937,0.005879,0.00501,0.005092,0.005546,0.005866,0.005336,0.005475,0.005516,0.005801,0.005065,0.005197,0.005084,0.005705,0.005762,0.005278,0.005147,0.005172,0.005686,0.005186,0.005307,0.005224,0.005593,0.00506,0.005327,0.005087,0.005755,0.005078,0.005349,0.005122,0.005637,0.005608,0.005182,0.00515,0.005637,0.005585,0.005864,0.00533,0.005645,0.005553,0.00564,0.005375,0.005536,0.005616,0.005708,0.005119,0.005172,0.005644,0.005506,0.005004,0.00525,0.005555,0.005545,0.005738,0.005191,0.005469,0.005423,0.005387,0.005559,0.005576,0.005449,0.005602,0.005082,0.005332,0.005242,0.005349,0.005738,0.005661,0.005805,0.00575,0.005754,0.00544,0.005801,0.005851,0.005537,0.005382,0.005719,0.00535,0.005969,0.005341,0.005376,0.005809,0.005327,0.005328,0.005369,0.005373,0.005417,0.005345,0.005345,0.005715,0.005499,0.005334,0.005358,0.005246,0.005413,0.005439,0.005385,0.005438,0.005753,0.005867,0.005735,0.005775,0.00568,0.005444,0.005437,0.005406,0.005332,0.005883,0.005816,0.005776,0.005635,0.005451,0.005512,0.005508,0.005554,0.005514,0.005492,0.005797,0.005794,0.005886,0.005514,0.005716,0.005528,0.005786,0.005575,0.011351,0.01273,0.013304,0.013352,0.011686,0.014063,0.013904,0.01385,0.014491,0.015165
0.056269,0.036896,0.031387,0.024879,0.024198,0.020259,0.019223,0.017395,0.016889,0.015567,0.014564,0.01344,0.012563,0.011902,0.010768,0.010728,0.013312,0.009583,0.009373,0.009601,0.011487,0.008581,0.008389,0.007901,0.010006,0.007727,0.008004,0.008618,0.008358,0.010928,0.008019,0.008115,0.007741,0.008004,0.006533,0.006355,0.006535,0.007859,0.006079,0.006058,0.006339,0.008092,0.007271,0.006236,0.005946,0.006969,0.006868,0.006153,0.006348,0.007891,0.007243,0.006739,0.005785,0.006533,0.007066,0.006469,0.005949,0.005786,0.006335,0.006198,0.005765,0.005616,0.006396,0.006946,0.006621,0.005192,0.006003,0.006485,0.006458,0.005411,0.006328,0.005368,0.005566,0.005697,0.006499,0.006729,0.006715,0.005846,0.006526,0.006645,0.005835,0.00591,0.00604,0.006025,0.005971,0.005943,0.00519,0.005422,0.005996,0.00569,0.00588,0.005017,0.005167,0.005081,0.005826,0.006071,0.005173,0.005895,0.005533,0.004972,0.004969,0.005773,0.005691,0.005736,0.005002,0.005167,0.005168,0.005018,0.00553,0.005515,0.005547,0.005719,0.005407,0.005,0.005528,0.005033,0.005562,0.005032,0.005006,0.005195,0.00563,0.005765,0.00505,0.005384,0.005604,0.005361,0.005138,0.005207,0.005672,0.005773,0.005208,0.005806,0.005441,0.005799,0.005188,0.005118,0.005216,0.005581,0.005227,0.005083,0.005277,0.005844,0.005262,0.005126,0.005117,0.005845,0.005718,0.005063,0.005192,0.005703,0.005797,0.005649,0.005108,0.005639,0.005901,0.005636,0.005304,0.005547,0.005566,0.005587,0.005151,0.005083,0.005715,0.005513,0.005241,0.005525,0.00568,0.005641,0.005508,0.005261,0.005389,0.005376,0.00534,0.005568,0.005434,0.0055,0.005344,0.005202,0.005028,0.005658,0.005351,0.00581,0.005699,0.005344,0.005774,0.005756,0.005445,0.005714,0.005679,0.005589,0.005369,0.005676,0.005729,0.005337,0.00556,0.006047,0.005722,0.005347,0.00532,0.005222,0.005658,0.005351,0.005392,0.005357,0.005564,0.005397,0.005379,0.005387,0.00525,0.005495,0.00547,0.005406,0.00576,0.005386,0.005825,0.005713,0.005794,0.00564,0.00547,0.005419,0.005462,0.005307,0.005448,0.005447,0.005739,0.005587,0.005409,0.0056,0.005508,0.005553,0.00546,0.005489,0.005759,0.005769,0.005945,0.005489,0.005457,0.005496,0.005823,0.005919,0.010591,0.01411,0.01334,0.013575,0.011123,0.01418,0.013511,0.013689,0.013711,0.01542
0.057337,0.036098,0.032454,0.025122,0.021391,0.019885,0.020665,0.014721,0.01701,0.015646,0.013135,0.013917,0.012176,0.011672,0.010722,0.011141,0.013849,0.010165,0.009489,0.009288,0.011383,0.008591,0.008092,0.008033,0.010035,0.007815,0.007735,0.008748,0.008449,0.010682,0.007946,0.007904,0.007839,0.008097,0.006544,0.006248,0.006397,0.007629,0.006605,0.006685,0.00649,0.008283,0.007308,0.005965,0.006019,0.007122,0.006812,0.006186,0.006128,0.007493,0.006496,0.007725,0.006029,0.006679,0.006644,0.006355,0.005633,0.005376,0.007025,0.00674,0.005404,0.005317,0.00625,0.006537,0.006354,0.005235,0.006011,0.006364,0.006454,0.005573,0.006278,0.00554,0.005665,0.00553,0.006594,0.006684,0.006643,0.005603,0.006544,0.005999,0.00603,0.005271,0.006596,0.005765,0.005831,0.005858,0.005094,0.005856,0.005871,0.005861,0.006198,0.005752,0.005665,0.0058,0.005732,0.00575,0.005071,0.00565,0.005727,0.005135,0.005822,0.005423,0.005045,0.005411,0.004986,0.004874,0.004976,0.004948,0.00559,0.005596,0.005624,0.005469,0.005042,0.004996,0.00576,0.00557,0.005675,0.004838,0.005538,0.005042,0.00579,0.005082,0.005274,0.0052,0.005937,0.005042,0.00536,0.00501,0.005737,0.0058,0.005156,0.005748,0.005267,0.005871,0.00519,0.005296,0.005128,0.005546,0.00512,0.005235,0.005143,0.005661,0.005051,0.00519,0.005086,0.005638,0.005593,0.00526,0.005145,0.005569,0.005555,0.005786,0.005191,0.005642,0.005522,0.0058,0.005125,0.005573,0.005581,0.005816,0.005085,0.005122,0.005566,0.005748,0.005194,0.005101,0.005625,0.005897,0.0056,0.005097,0.005636,0.005487,0.005348,0.005556,0.005459,0.005555,0.005287,0.005397,0.00505,0.005059,0.00533,0.005652,0.005906,0.005719,0.006139,0.005772,0.0053,0.005798,0.005771,0.005802,0.005358,0.005648,0.005735,0.005723,0.005199,0.005338,0.005738,0.005707,0.005358,0.00525,0.005335,0.005346,0.005409,0.005386,0.005358,0.005411,0.005408,0.005389,0.005375,0.005474,0.005436,0.00538,0.005418,0.005805,0.005417,0.00539,0.005729,0.005577,0.005463,0.0054,0.005439,0.005275,0.005402,0.00544,0.005716,0.00571,0.005771,0.005513,0.005481,0.005583,0.005424,0.005671,0.005789,0.005774,0.005927,0.005416,0.005474,0.005465,0.005825,0.005857,0.010344,0.01317,0.014203,0.013419,0.011131,0.015738,0.014367,0.013496,0.013745,0.014235
0.056272,0.037165,0.034531,0.025628,0.027149,0.020323,0.020107,0.017726,0.015558,0.01602,0.014811,0.012819,0.011512,0.011807,0.010648,0.011004,0.013472,0.010183,0.009628,0.009081,0.01134,0.00872,0.008197,0.008456,0.009737,0.007896,0.007824,0.008667,0.008541,0.010615,0.008112,0.008265,0.007952,0.008114,0.006643,0.006608,0.006423,0.00776,0.006003,0.006215,0.005899,0.008135,0.007358,0.006022,0.005829,0.006855,0.007293,0.006228,0.006294,0.00659,0.006603,0.007092,0.00552,0.007471,0.006957,0.00639,0.00535,0.005304,0.00671,0.006227,0.005886,0.005818,0.006236,0.006309,0.006157,0.005418,0.005964,0.006524,0.006467,0.005513,0.006415,0.006286,0.005702,0.0055,0.006577,0.006551,0.006559,0.005721,0.00664,0.005245,0.005157,0.005955,0.006084,0.005914,0.006074,0.006226,0.005218,0.005348,0.005911,0.005847,0.005793,0.005248,0.005785,0.00531,0.005855,0.00573,0.005598,0.005677,0.005692,0.00522,0.004975,0.005177,0.005016,0.0056,0.005256,0.005053,0.005001,0.005095,0.005495,0.005596,0.005531,0.005794,0.005095,0.005014,0.004912,0.005617,0.005538,0.005027,0.004855,0.005052,0.005689,0.005286,0.005239,0.005181,0.00551,0.005246,0.005033,0.005209,0.005748,0.006034,0.005334,0.005187,0.00574,0.005842,0.005183,0.00512,0.00518,0.005635,0.005185,0.005504,0.005146,0.005579,0.005122,0.005279,0.005255,0.005539,0.005706,0.005072,0.005147,0.005833,0.005693,0.00557,0.005352,0.005715,0.005534,0.005614,0.005466,0.005905,0.00561,0.005657,0.005305,0.005161,0.005563,0.005561,0.005196,0.005109,0.005693,0.005537,0.005618,0.005087,0.005488,0.005431,0.005516,0.005504,0.005399,0.005472,0.005541,0.005046,0.005171,0.005139,0.00534,0.005388,0.005677,0.005817,0.005832,0.005767,0.00534,0.005836,0.005665,0.005719,0.005286,0.005684,0.005736,0.005739,0.005568,0.005434,0.005786,0.005772,0.005825,0.005215,0.005748,0.005469,0.005348,0.005473,0.005339,0.005345,0.005383,0.005511,0.005541,0.005435,0.005398,0.005424,0.005393,0.005891,0.005803,0.005393,0.00571,0.005578,0.005428,0.005394,0.005458,0.005292,0.005417,0.005716,0.005793,0.00569,0.005468,0.00547,0.005455,0.005521,0.005484,0.005521,0.005841,0.005736,0.005916,0.005439,0.005461,0.005545,0.005935,0.005854,0.011461,0.013683,0.013025,0.01372,0.011189,0.013938,0.013263,0.014916,0.0141,0.014864
