,TS,Algo,Graph,NThread,Dur
0,2016-12-11_131002,pf_Greedy,wikipedia,1,869.648889
1,2016-12-11_131002,pf_Greedy,wikipedia,1,874.1584369999999
2,2016-12-11_131002,pf_Greedy,wikipedia,1,883.007362
3,2016-12-11_131002,pf_Greedy,wikipedia,1,875.630019
4,2016-12-11_131002,pf_Greedy,wikipedia,1,874.524852
5,2016-12-11_131002,pf_Greedy,wikipedia,1,871.1672140000001
6,2016-12-11_131002,pf_Greedy,wikipedia,1,875.7676560000001
7,2016-12-11_131002,pf_Greedy,wikipedia,1,873.168541
8,2016-12-11_131002,pf_Greedy,wikipedia,1,871.199392
9,2016-12-11_131002,pf_Greedy,wikipedia,1,871.2724289999999
10,2016-12-11_122602,pf_KS,wikipedia,1,250.44100299999997
11,2016-12-11_122602,pf_KS,wikipedia,1,247.08045
12,2016-12-11_122602,pf_KS,wikipedia,1,243.970059
13,2016-12-11_122602,pf_KS,wikipedia,1,241.239956
14,2016-12-11_122602,pf_KS,wikipedia,1,238.229858
15,2016-12-11_122602,pf_KS,wikipedia,1,235.408316
16,2016-12-11_122602,pf_KS,wikipedia,1,232.80400899999998
17,2016-12-11_122602,pf_KS,wikipedia,1,232.45342999999997
18,2016-12-11_122602,pf_KS,wikipedia,1,230.14329300000003
19,2016-12-11_122602,pf_KS,wikipedia,1,232.488219
20,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,113.098345
21,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,127.241207
22,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,109.827661
23,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,108.26392299999999
24,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,124.45393999999999
25,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,116.28757399999999
26,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,115.372351
27,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,109.63343300000001
28,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,110.967649
29,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,110.62381699999999
30,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,127.408418
31,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,110.63796799999999
32,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,108.02725
33,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,128.076266
34,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,119.564571
35,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,111.008845
36,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,106.49446599999999
37,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,117.536492
38,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,113.945167
39,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,119.818708
40,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,110.303696
41,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,107.80644099999999
42,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,134.529505
43,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,122.653722
44,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,114.91798500000002
45,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,113.599331
46,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,117.51973899999999
47,2016-12-11_181432,ppfTTAS_Greedy,wikipedia,10,113.770322
